name,team,min,uast,ts
Aaron Brooks,CHI,23.0,0.703,0.534
Aaron Gordon,ORL,17.0,0.452,0.517
Adreian Payne,MIN,23.1,0.363,0.443
Al Horford,ATL,30.5,0.208,0.563
Al Jefferson,CHA,30.6,0.403,0.5
Al-Farouq Aminu,DAL,18.5,0.252,0.504
Alan Anderson,BKN,23.6,0.354,0.563
Alex Len,PHX,22.0,0.335,0.542
Alexey Shved,NYK,18.3,0.564,0.541
Alexis Ajinca,NOP,14.1,0.387,0.595
Allen Crabbe,POR,13.4,0.079,0.525
Alonzo Gee,POR,12.2,0.448,0.548
Amar'e Stoudemire,DAL,21.1,0.531,0.595
Amir Johnson,TOR,26.4,0.295,0.603
Andre Drummond,DET,30.5,0.421,0.504
Andre Iguodala,GSW,26.9,0.273,0.553
Andre Miller,SAC,15.5,0.69,0.548
Andre Roberson,OKC,19.2,0.196,0.513
Andrew Bogut,GSW,23.6,0.34,0.565
Andrew Nicholson,ORL,12.3,0.229,0.483
Andrew Wiggins,MIN,36.2,0.481,0.517
Anthony Bennett,MIN,15.7,0.232,0.458
Anthony Davis,NOP,36.1,0.285,0.591
Anthony Morrow,OKC,24.4,0.221,0.604
Anthony Tolliver,DET,18.9,0.081,0.569
Archie Goodwin,PHX,13.0,0.557,0.486
Aron Baynes,SAS,16.0,0.205,0.618
Arron Afflalo,POR,32.1,0.323,0.533
Austin Daye,ATL,10.1,0.24,0.449
Austin Rivers,LAC,20.6,0.522,0.481
Avery Bradley,BOS,31.5,0.272,0.507
Ben Gordon,ORL,14.1,0.566,0.538
Ben McLemore,SAC,32.6,0.262,0.552
Beno Udrih,MEM,18.9,0.528,0.55
Bismack Biyombo,CHA,19.4,0.436,0.578
Blake Griffin,LAC,35.2,0.326,0.551
Bojan Bogdanovic,BKN,23.8,0.257,0.562
Boris Diaw,SAS,24.5,0.381,0.526
Bradley Beal,WAS,33.5,0.358,0.521
Brandan Wright,PHX,19.3,0.262,0.66
Brandon Bass,BOS,23.5,0.302,0.557
Brandon Jennings,DET,28.6,0.67,0.522
Brandon Knight,PHX,32.3,0.584,0.543
Brian Roberts,CHA,18.5,0.489,0.495
Brook Lopez,BKN,29.2,0.352,0.558
C.J. Watson,IND,24.9,0.508,0.581
CJ McCollum,POR,15.7,0.516,0.534
CJ Miles,IND,26.3,0.237,0.525
Carl Landry,SAC,17.0,0.284,0.578
Carlos Boozer,LAL,23.8,0.337,0.517
Carmelo Anthony,NYK,35.7,0.55,0.531
Caron Butler,DET,20.8,0.193,0.544
Chandler Parsons,DAL,33.1,0.392,0.567
Channing Frye,ORL,24.9,0.12,0.546
Charlie Villanueva,DAL,10.6,0.153,0.534
Chase Budinger,MIN,19.2,0.231,0.537
Chris Andersen,MIA,18.9,0.208,0.622
Chris Bosh,MIA,35.4,0.397,0.548
Chris Copeland,IND,16.6,0.384,0.468
Chris Kaman,POR,18.9,0.371,0.537
Chris Paul,LAC,34.8,0.808,0.596
Cleanthony Early,NYK,16.6,0.316,0.447
Cody Zeller,CHA,24.0,0.151,0.53
Cole Aldrich,NYK,16.0,0.347,0.513
Corey Brewer,HOU,26.1,0.286,0.507
Cory Jefferson,BKN,10.6,0.453,0.48
Cory Joseph,SAS,18.3,0.556,0.564
Courtney Lee,MEM,30.6,0.278,0.555
D.J. Augustin,OKC,23.9,0.705,0.527
Damian Lillard,POR,35.7,0.669,0.56
Damjan Rudez,IND,15.4,0.126,0.591
Danilo Gallinari,DEN,24.2,0.355,0.563
Danny Green,SAS,28.5,0.18,0.596
Dante Cunningham,NOP,25.0,0.071,0.473
Dante Exum,UTA,22.2,0.262,0.457
Darrell Arthur,DEN,17.0,0.181,0.466
Darren Collison,SAC,34.8,0.677,0.575
David Lee,GSW,18.5,0.294,0.541
David West,IND,28.7,0.257,0.508
DeAndre Jordan,LAC,34.4,0.311,0.638
DeMar DeRozan,TOR,35.0,0.55,0.51
DeMarcus Cousins,SAC,34.1,0.478,0.545
DeMarre Carroll,ATL,31.3,0.173,0.603
Dennis Schroder,ATL,19.7,0.708,0.516
Deron Williams,BKN,31.1,0.628,0.504
Derrick Favors,UTA,30.8,0.32,0.558
Derrick Rose,CHI,30.0,0.654,0.493
Derrick Williams,SAC,19.8,0.263,0.54
Devin Harris,DAL,22.2,0.521,0.559
Dewayne Dedmon,ORL,14.3,0.462,0.568
Dion Waiters,OKC,27.6,0.536,0.46
