name,team,min,uast,ts
Aaron Brooks,HOU,11.9,0.516,0.535
Aaron Gray,CHI,10.1,0.495,0.529
Acie Law,ATL,15.5,0.663,0.455
Al Harrington,GSW,27.0,0.319,0.547
Al Horford,ATL,31.4,0.324,0.539
Al Jefferson,MIN,35.6,0.49,0.535
Al Thornton,LAC,27.3,0.412,0.504
Alexander Johnson,MIA,12.8,0.344,0.554
Allen Iverson,DEN,41.8,0.699,0.567
Amar'e Stoudemire,PHX,33.9,0.301,0.656
Amir Johnson,DET,12.3,0.489,0.584
Anderson Varejao,CLE,27.5,0.36,0.485
Andray Blatche,WAS,20.4,0.484,0.512
Andre Iguodala,PHI,39.5,0.481,0.543
Andre Miller,PHI,36.8,0.678,0.537
Andre Owens,IND,12.6,0.525,0.504
Andrea Bargnani,TOR,23.9,0.211,0.495
Andrei Kirilenko,UTA,30.8,0.258,0.603
Andres Nocioni,CHI,24.6,0.251,0.549
Andrew Bogut,MIL,34.9,0.398,0.532
Andrew Bynum,LAL,28.8,0.444,0.659
Andris Biedrins,GSW,27.3,0.285,0.637
Antawn Jamison,WAS,38.7,0.371,0.525
Anthony Carter,DEN,28.0,0.284,0.531
Anthony Johnson,SAC,22.2,0.368,0.517
Anthony Parker,TOR,32.1,0.286,0.58
Antoine Walker,MIN,19.4,0.426,0.455
Antoine Wright,DAL,22.0,0.257,0.488
Antonio Daniels,WAS,30.4,0.654,0.549
Antonio McDyess,DET,29.3,0.14,0.511
Arron Afflalo,DET,12.9,0.333,0.494
Austin Croshere,GSW,10.4,0.295,0.573
Baron Davis,GSW,39.0,0.729,0.523
Ben Gordon,CHI,31.8,0.483,0.558
Ben Wallace,CLE,30.6,0.312,0.408
Beno Udrih,SAC,32.0,0.631,0.54
Bobby Jackson,HOU,19.3,0.5,0.51
Bobby Jones,DEN,11.5,0.367,0.548
Bobby Simmons,MIL,21.7,0.297,0.504
Bonzi Wells,NOH,21.4,0.317,0.495
Boris Diaw,PHX,28.1,0.338,0.516
Bostjan Nachbar,NJN,22.1,0.196,0.531
Brad Miller,SAC,34.9,0.285,0.558
Brandon Bass,DAL,19.7,0.431,0.564
Brandon Roy,POR,37.7,0.642,0.531
Brendan Haywood,WAS,27.9,0.472,0.582
Brent Barry,SAS,17.9,0.117,0.655
Brevin Knight,LAC,22.6,0.326,0.453
Brian Cardinal,MEM,11.9,0.116,0.461
Brian Cook,ORL,12.3,0.284,0.489
Brian Scalabrine,BOS,10.7,0.069,0.428
Brian Skinner,PHX,12.8,0.261,0.485
Bruce Bowen,SAS,30.2,0.103,0.527
C.J. Watson,GSW,11.5,0.512,0.519
CJ Miles,UTA,11.5,0.265,0.574
Carl Landry,HOU,16.9,0.267,0.641
Carlos Arroyo,ORL,20.5,0.758,0.547
Carlos Boozer,UTA,34.9,0.291,0.581
Carlos Delfino,TOR,23.5,0.331,0.527
Carmelo Anthony,DEN,36.4,0.413,0.568
Caron Butler,WAS,39.9,0.563,0.558
Casey Jacobsen,MEM,10.3,0.231,0.437
Channing Frye,POR,17.2,0.249,0.529
Charlie Bell,MIL,23.9,0.416,0.49
Charlie Villanueva,MIL,24.1,0.347,0.502
Chauncey Billups,DET,32.3,0.669,0.619
Chris Bosh,TOR,36.2,0.391,0.588
Chris Duhon,CHI,22.6,0.451,0.508
Chris Kaman,LAC,37.2,0.385,0.538
Chris Paul,NOH,37.6,0.813,0.576
Chris Quinn,MIA,22.3,0.525,0.559
Chris Richard,MIN,10.7,0.439,0.496
Chris Wilcox,SEA,28.0,0.341,0.554
Chuck Hayes,HOU,19.9,0.265,0.512
Corey Brewer,MIN,22.8,0.467,0.429
Corey Maggette,LAC,35.7,0.349,0.595
Craig Smith,MIN,20.1,0.343,0.59
Cuttino Mobley,LAC,35.1,0.406,0.514
Daequan Cook,MIA,24.4,0.296,0.48
Damien Wilkins,SEA,24.3,0.491,0.474
Damon Jones,CLE,19.9,0.152,0.582
Damon Stoudamire,SAS,17.3,0.533,0.45
Dan Dickau,LAC,15.5,0.524,0.53
Dan Gadzuric,MIL,10.5,0.297,0.443
Daniel Gibson,CLE,30.4,0.303,0.592
Danny Granger,IND,36.0,0.378,0.571
Darius Songaila,WAS,19.4,0.299,0.496
Darko Milicic,MEM,23.8,0.37,0.456
Darrell Armstrong,NJN,11.0,0.275,0.499
David Harrison,IND,12.8,0.467,0.539
David Lee,NYK,29.1,0.408,0.606
David West,NOH,37.8,0.429,0.535
DeSagana Diop,NJN,16.4,0.362,0.536
DeShawn Stevenson,WAS,31.3,0.382,0.529
Delonte West,CLE,25.1,0.643,0.492
Derek Fisher,LAL,27.4,0.381,0.556
Deron Williams,UTA,37.3,0.617,0.595
Desmond Mason,MIL,28.8,0.313,0.519
Devean George,DAL,15.5,0.297,0.437
Devin Brown,CLE,22.6,0.401,0.494
Devin Harris,NJN,31.6,0.586,0.573
Dikembe Mutombo,HOU,15.9,0.372,0.591
Dirk Nowitzki,DAL,36.0,0.454,0.585
Dorell Wright,MIA,25.1,0.231,0.537
Drew Gooden,CHI,30.8,0.389,0.495
Dwight Howard,ORL,37.7,0.322,0.619
Dwyane Wade,MIA,38.3,0.708,0.549
Earl Barron,MIA,19.3,0.28,0.446
Earl Boykins,CHA,16.0,0.623,0.467
Earl Watson,SEA,29.1,0.746,0.517
Eddie House,BOS,19.0,0.244,0.534
Eddie Jones,DAL,19.6,0.076,0.473
Eddy Curry,NYK,25.9,0.354,0.578
Eduardo Najera,DEN,21.3,0.172,0.57
Emeka Okafor,CHA,33.2,0.289,0.553
Erick Dampier,DAL,24.4,0.348,0.645
Fabricio Oberto,SAS,20.0,0.167,0.615
Flip Murray,IND,20.8,0.734,0.483
Francisco Elson,SEA,12.9,0.207,0.416
Francisco Garcia,SAC,26.5,0.399,0.576
Fred Jones,NYK,25.1,0.445,0.546
Gerald Wallace,CHA,38.3,0.422,0.547
Glen Davis,BOS,13.6,0.355,0.545
Gordan Giricek,PHX,14.8,0.368,0.518
Grant Hill,PHX,31.7,0.321,0.576
Greg Buckner,MIN,16.8,0.356,0.489
Hakim Warrick,MEM,23.4,0.348,0.555
Hedo Turkoglu,ORL,36.9,0.595,0.576
Hilton Armstrong,NOH,11.3,0.537,0.498
Ime Udoka,SAS,18.0,0.157,0.528
Ira Newble,LAL,14.2,0.382,0.507
J.J. Barea,DAL,10.4,0.634,0.515
JR Smith,DEN,19.2,0.344,0.603
Jacque Vaughn,SAS,15.4,0.537,0.481
Jamaal Tinsley,IND,33.2,0.659,0.458
Jamal Crawford,NYK,39.9,0.586,0.528
Jamario Moon,TOR,27.8,0.219,0.54
Jameer Nelson,ORL,28.4,0.707,0.564
James Jones,POR,22.0,0.098,0.625
James Posey,BOS,24.6,0.156,0.587
Jannero Pargo,NOH,18.7,0.555,0.468
Jared Dudley,CHA,19.0,0.337,0.528
Jared Jeffries,NYK,18.1,0.389,0.433
Jarrett Jack,POR,27.2,0.599,0.558
Jarvis Hayes,DET,15.7,0.226,0.52
Jason Collins,MEM,15.8,0.321,0.481
Jason Hart,UTA,10.6,0.448,0.413
Jason Kapono,TOR,18.9,0.181,0.561
Jason Kidd,DAL,36.3,0.423,0.499
Jason Maxiell,DET,21.6,0.358,0.576
Jason Richardson,CHA,38.4,0.367,0.554
Jason Smith,PHI,14.6,0.213,0.491
Jason Terry,DAL,31.4,0.403,0.574
Jason Williams,MIA,28.2,0.63,0.502
Javaris Crittenton,MEM,13.6,0.694,0.499
Jeff Foster,IND,24.5,0.317,0.568
Jeff Green,SEA,28.2,0.391,0.491
Jeff McInnis,CHA,26.1,0.519,0.461
Jermaine O'Neal,IND,28.7,0.413,0.489
Jerry Stackhouse,DAL,24.4,0.366,0.523
Joakim Noah,CHI,20.7,0.429,0.539
Joe Johnson,ATL,40.8,0.521,0.535
Joe Smith,CLE,22.4,0.282,0.524
Joel Przybilla,POR,23.6,0.333,0.611
Johan Petro,SEA,18.2,0.266,0.453
John Salmons,SAC,31.1,0.633,0.556
Jordan Farmar,LAL,20.6,0.395,0.563
Jose Calderon,TOR,30.3,0.703,0.607
Josh Boone,NJN,25.3,0.277,0.543
Josh Childress,ATL,29.9,0.37,0.647
Josh Howard,DAL,36.3,0.504,0.534
Josh Powell,LAC,19.2,0.317,0.5
Josh Smith,ATL,35.5,0.357,0.52
Juan Carlos Navarro,MEM,25.8,0.438,0.54
Juan Dixon,DET,12.6,0.453,0.488
Julian Wright,NOH,11.2,0.2,0.581
Kareem Rush,IND,21.2,0.307,0.5
Keith Bogans,ORL,26.8,0.174,0.559
Kelenna Azubuike,GSW,21.4,0.337,0.534
Kendrick Perkins,BOS,24.5,0.318,0.632
Kenyon Martin,DEN,30.4,0.242,0.553
Kevin Durant,SEA,34.6,0.407,0.519
Kevin Garnett,BOS,32.8,0.324,0.588
Kevin Martin,SAC,36.3,0.446,0.618
Keyon Dooling,ORL,18.5,0.737,0.572
Kirk Hinrich,CHI,31.7,0.582,0.501
Kirk Snyder,MIN,21.1,0.635,0.573
Kobe Bryant,LAL,38.9,0.6,0.576
Kris Humphries,TOR,13.2,0.379,0.512
Kurt Thomas,SAS,22.6,0.21,0.514
Kwame Brown,MEM,18.8,0.292,0.497
Kyle Korver,UTA,23.1,0.094,0.585
Kyle Lowry,MEM,25.5,0.688,0.531
LaMarcus Aldridge,POR,34.9,0.355,0.523
Lamar Odom,LAL,37.9,0.374,0.582
Larry Hughes,CHI,29.7,0.407,0.468
LeBron James,CLE,40.4,0.657,0.568
Leandro Barbosa,PHX,29.5,0.364,0.575
Leon Powe,BOS,14.4,0.325,0.629
Linas Kleiza,DEN,23.9,0.196,0.585
Lou Williams,PHI,23.3,0.646,0.523
Luis Scola,HOU,24.7,0.333,0.548
Luke Ridnour,SEA,20.0,0.748,0.482
Luke Walton,LAL,23.4,0.307,0.509
Luol Deng,CHI,33.8,0.326,0.528
Luther Head,HOU,18.9,0.451,0.543
Malik Allen,DAL,15.0,0.248,0.5
Malik Rose,NYK,10.1,0.303,0.422
Manu Ginobili,SAS,31.1,0.55,0.612
Marcus Banks,MIA,15.8,0.442,0.579
Marcus Camby,DEN,34.9,0.252,0.498
Marcus Williams,NJN,16.1,0.523,0.499
Mardy Collins,NYK,13.8,0.702,0.378
Mark Blount,MIA,22.3,0.214,0.505
Marko Jaric,MIN,29.2,0.454,0.518
Marquis Daniels,IND,20.9,0.535,0.487
Martell Webster,POR,28.4,0.209,0.548
Marvin Williams,ATL,34.6,0.245,0.54
Matt Barnes,GSW,19.4,0.289,0.51
Matt Bonner,SAS,12.5,0.198,0.525
Matt Carroll,CHA,25.2,0.175,0.554
Matt Harpring,UTA,18.1,0.211,0.551
Maurice Evans,ORL,22.9,0.267,0.571
Mehmet Okur,UTA,33.2,0.281,0.556
Melvin Ely,NOH,11.9,0.494,0.491
Metta World Peace,SAC,38.1,0.631,0.535
Michael Finley,SAS,26.9,0.219,0.519
Michael Redd,MIL,37.5,0.515,0.559
Michael Ruffin,MIL,13.7,0.273,0.507
Mickael Gelabale,SEA,11.9,0.391,0.509
Mickael Pietrus,GSW,19.9,0.282,0.549
Mike Bibby,ATL,32.8,0.403,0.515
Mike Conley,MEM,26.1,0.767,0.502
Mike Dunleavy,IND,36.0,0.31,0.605
Mike James,NOH,13.3,0.406,0.437
Mike Miller,MEM,35.3,0.428,0.625
Mikki Moore,SAC,29.1,0.28,0.613
Mo Williams,MIL,36.5,0.66,0.566
Monta Ellis,GSW,37.9,0.537,0.58
Morris Peterson,NOH,23.6,0.102,0.549
Nate Robinson,NYK,26.2,0.562,0.526
Nazr Mohammed,CHA,20.1,0.39,0.533
Nenad Krstic,NJN,18.0,0.187,0.451
Nick Collison,SEA,28.5,0.363,0.537
Nick Young,WAS,15.4,0.629,0.527
Pau Gasol,LAL,35.6,0.387,0.594
Paul Millsap,UTA,20.8,0.379,0.548
