name,team,min,uast,ts
AJ Price,WAS,22.4,0.491,0.501
Aaron Brooks,HOU,18.8,0.636,0.555
Aaron Gray,TOR,12.2,0.292,0.544
Al Horford,ATL,37.3,0.229,0.56
Al Jefferson,UTA,33.1,0.452,0.522
Al-Farouq Aminu,NOH,27.2,0.284,0.519
Alan Anderson,TOR,23.0,0.39,0.509
Alec Burks,UTA,17.8,0.491,0.507
Alexey Shved,MIN,23.9,0.534,0.474
Alonzo Gee,CLE,31.0,0.4,0.505
Amir Johnson,TOR,28.7,0.286,0.591
Andray Blatche,BKN,19.0,0.538,0.547
Andre Drummond,DET,20.7,0.38,0.578
Andre Iguodala,DEN,34.7,0.399,0.52
Andre Miller,DEN,26.2,0.71,0.548
Andrea Bargnani,TOR,28.6,0.318,0.482
Andrei Kirilenko,MIN,31.8,0.254,0.59
Andrew Bogut,GSW,24.6,0.386,0.463
Andrew Nicholson,ORL,16.7,0.336,0.557
Antawn Jamison,LAL,21.5,0.161,0.561
Anthony Davis,NOH,28.8,0.235,0.559
Anthony Tolliver,ATL,15.5,0.061,0.531
Arnett Moultrie,PHI,11.5,0.333,0.595
Arron Afflalo,ORL,36.0,0.428,0.527
Austin Daye,MEM,12.3,0.222,0.554
Austin Rivers,NOH,23.2,0.676,0.431
Avery Bradley,BOS,28.7,0.417,0.461
Ben Gordon,CHA,20.8,0.484,0.515
Beno Udrih,ORL,22.1,0.562,0.516
Bismack Biyombo,CHA,27.3,0.333,0.472
Blake Griffin,LAC,32.5,0.359,0.572
Boris Diaw,SAS,22.8,0.184,0.603
Bradley Beal,WAS,31.2,0.259,0.515
Brandan Wright,DAL,17.9,0.199,0.606
Brandon Bass,BOS,27.6,0.252,0.535
Brandon Jennings,MIL,36.2,0.628,0.51
Brandon Knight,DET,31.5,0.468,0.511
Brendan Haywood,CHA,19.1,0.43,0.441
Brian Roberts,NOH,17.0,0.643,0.509
Brook Lopez,BKN,30.4,0.375,0.567
Byron Mullens,CHA,26.9,0.276,0.465
C.J. Watson,BKN,19.0,0.339,0.544
CJ Miles,CLE,21.0,0.247,0.551
Carl Landry,GSW,23.2,0.332,0.605
Carlos Boozer,CHI,32.2,0.342,0.51
Carlos Delfino,HOU,25.2,0.199,0.549
Carmelo Anthony,NYK,37.0,0.607,0.56
Caron Butler,LAC,24.1,0.174,0.535
Cartier Martin,WAS,16.9,0.188,0.511
Chandler Parsons,HOU,36.3,0.263,0.584
