name,team,min,uast,ts
A.J. Guyton,CHI,13.4,0.42,0.477
Aaron McKie,PHI,30.6,0.405,0.54
Aaron Williams,NJN,18.9,0.273,0.568
Adonal Foyle,GSW,18.8,0.462,0.445
Adrian Griffin,DAL,23.9,0.453,0.545
Al Harrington,IND,29.8,0.457,0.526
Allan Houston,NYK,37.9,0.403,0.54
Allen Iverson,PHI,43.7,0.577,0.489
Alonzo Mourning,MIA,32.7,0.365,0.558
Alvin Williams,TOR,35.8,0.469,0.47
Andre Miller,CLE,37.3,0.726,0.538
Andrei Kirilenko,UTA,26.3,0.305,0.553
Andrew DeClercq,ORL,10.4,0.343,0.474
Anfernee Hardaway,PHX,30.8,0.522,0.472
Antawn Jamison,GSW,37.0,0.277,0.516
Anthony Carter,MIA,22.8,0.551,0.359
Anthony Johnson,NJN,10.8,0.514,0.465
Anthony Mason,MIL,38.3,0.468,0.544
Anthony Peeler,MIN,25.1,0.257,0.519
Antoine Walker,BOS,42.1,0.467,0.49
Antonio Daniels,SAS,26.5,0.409,0.534
Antonio Davis,TOR,38.7,0.363,0.497
Art Long,SEA,15.7,0.358,0.506
Austin Croshere,IND,16.9,0.303,0.518
Avery Johnson,DAL,19.9,0.676,0.531
Baron Davis,CHH,40.5,0.637,0.498
Ben Wallace,DET,36.5,0.408,0.522
Bimbo Coles,CLE,14.8,0.339,0.459
Bo Outlaw,PHX,23.2,0.199,0.547
Bob Sura,GSW,22.9,0.588,0.53
Bobby Jackson,SAC,21.6,0.455,0.537
Bonzi Wells,POR,31.8,0.355,0.538
Brad Miller,IND,29.8,0.38,0.572
Brendan Haywood,WAS,20.4,0.459,0.54
Brent Barry,SEA,37.5,0.282,0.652
Brevin Knight,MEM,21.7,0.624,0.482
Brian Grant,MIA,31.3,0.238,0.508
Brian Shaw,LAL,10.8,0.279,0.458
Brian Skinner,CLE,17.0,0.295,0.569
Bruce Bowen,SAS,28.8,0.206,0.468
Bryant Stith,CLE,13.3,0.286,0.493
Bryce Drew,CHH,12.7,0.346,0.539
Bryon Russell,UTA,30.3,0.167,0.493
Cal Bowdler,ATL,11.2,0.18,0.416
Calbert Cheaney,DEN,24.1,0.353,0.499
Charles Oakley,CHI,24.3,0.113,0.392
Charles Smith,SAS,19.1,0.445,0.483
Charlie Ward,NYK,16.8,0.496,0.496
Chauncey Billups,MIN,28.7,0.523,0.555
Chris Childs,TOR,22.9,0.371,0.435
Chris Gatling,MIA,15.0,0.382,0.501
Chris Mihm,CLE,22.4,0.321,0.47
Chris Mills,GSW,18.7,0.225,0.516
Chris Webber,SAC,38.4,0.402,0.54
Chris Whitney,WAS,26.5,0.266,0.568
Christian Laettner,WAS,25.3,0.298,0.511
Chucky Atkins,DET,28.9,0.435,0.568
Clar. Weatherspoon,NYK,30.8,0.302,0.478
Clifford Robinson,DET,35.7,0.275,0.503
Corey Maggette,LAC,25.7,0.277,0.56
Corie Blount,PHI,19.9,0.322,0.478
Corliss Williamson,DET,21.9,0.387,0.567
Courtney Alexander,WAS,23.6,0.354,0.521
Cuttino Mobley,HOU,42.1,0.519,0.537
Dale Davis,POR,31.4,0.355,0.551
Dalibor Bagaric,CHI,12.7,0.389,0.443
Damon Jones,DET,16.2,0.307,0.548
Damon Stoudamire,POR,37.2,0.499,0.506
Dan Langhi,HOU,12.7,0.286,0.412
Dan Majerle,PHX,18.2,0.182,0.49
Danny Ferry,SAS,16.0,0.079,0.594
Danny Fortson,GSW,28.8,0.453,0.504
Danny Manning,DAL,13.5,0.282,0.505
Darius Miles,LAC,27.1,0.38,0.516
Darrell Armstrong,ORL,33.3,0.412,0.553
Darvin Ham,MIL,17.2,0.283,0.571
David Robinson,SAS,29.6,0.323,0.562
David Wesley,CHH,37.2,0.223,0.479
DeShawn Stevenson,UTA,16.9,0.245,0.412
Dell Curry,TOR,15.8,0.248,0.495
DerMarr Johnson,ATL,23.9,0.271,0.513
Derek Anderson,POR,26.5,0.267,0.537
Derek Fisher,LAL,28.2,0.241,0.55
Derrick Coleman,PHI,35.9,0.372,0.524
Derrick McKey,PHI,19.1,0.327,0.464
