name,team,min,uast,ts
Aaron Brooks,DEN,21.6,0.631,0.518
Al Harrington,WAS,15.0,0.207,0.506
Al Jefferson,CHA,35.0,0.387,0.532
Al-Farouq Aminu,NOP,25.6,0.308,0.516
Alan Anderson,BKN,22.7,0.366,0.525
Alec Burks,UTA,28.1,0.608,0.547
Alexey Shved,MIN,10.5,0.513,0.452
Alexis Ajinca,NOP,17.0,0.294,0.589
Alonzo Gee,CLE,15.7,0.306,0.491
Amar'e Stoudemire,NYK,22.6,0.379,0.596
Amir Johnson,TOR,28.8,0.276,0.592
Anderson Varejao,CLE,27.7,0.317,0.527
Andray Blatche,BKN,22.2,0.442,0.532
Andre Drummond,DET,32.3,0.426,0.599
Andre Iguodala,GSW,32.4,0.382,0.57
Andre Miller,WAS,16.9,0.736,0.534
Andrea Bargnani,NYK,29.9,0.212,0.51
Andrei Kirilenko,BKN,19.1,0.305,0.532
Andrew Bogut,GSW,26.4,0.285,0.61
Andrew Nicholson,ORL,15.4,0.356,0.489
Anthony Bennett,CLE,12.7,0.325,0.425
Anthony Davis,NOP,35.2,0.331,0.582
Anthony Morrow,NOP,18.8,0.244,0.57
Anthony Randolph,DEN,12.2,0.324,0.499
Anthony Tolliver,CHA,20.3,0.054,0.605
Archie Goodwin,PHX,10.2,0.579,0.507
Arron Afflalo,ORL,35.0,0.373,0.574
Austin Rivers,NOP,19.4,0.641,0.482
Avery Bradley,BOS,30.9,0.371,0.51
Ben McLemore,SAC,26.7,0.259,0.485
Beno Udrih,MEM,15.7,0.487,0.523
Bismack Biyombo,CHA,13.9,0.284,0.606
Blake Griffin,LAC,35.8,0.348,0.583
Boris Diaw,SAS,25.0,0.354,0.578
Bradley Beal,WAS,34.7,0.364,0.507
Brandan Wright,DAL,18.6,0.125,0.695
Brandon Bass,BOS,27.6,0.398,0.549
Brandon Davies,PHI,11.3,0.259,0.476
Brandon Jennings,DET,34.1,0.69,0.486
Brandon Knight,MIL,33.3,0.62,0.523
Brandon Rush,UTA,11.0,0.4,0.428
Brian Roberts,NOP,23.2,0.59,0.529
C.J. Watson,IND,18.9,0.452,0.555
CJ McCollum,POR,12.5,0.419,0.521
CJ Miles,CLE,19.3,0.202,0.569
Carlos Boozer,CHI,28.2,0.289,0.489
Carmelo Anthony,NYK,38.7,0.614,0.561
Caron Butler,OKC,25.3,0.263,0.512
