name,team,min,uast,ts
Adam Morrison,CHA,29.8,0.417,0.45
Adrian Griffin,CHI,10.8,0.443,0.499
Al Harrington,GSW,32.9,0.337,0.54
Al Jefferson,BOS,33.6,0.479,0.547
Alan Henderson,PHI,11.0,0.442,0.679
Alexander Johnson,MEM,12.8,0.374,0.588
Allan Ray,BOS,15.1,0.24,0.512
Allen Iverson,DEN,42.5,0.749,0.54
Alonzo Mourning,MIA,20.4,0.345,0.59
Amar'e Stoudemire,PHX,32.8,0.351,0.637
Anderson Varejao,CLE,23.9,0.393,0.527
Andray Blatche,WAS,12.2,0.523,0.471
Andre Iguodala,PHI,40.3,0.497,0.562
Andre Miller,PHI,37.1,0.705,0.52
Andrea Bargnani,TOR,25.1,0.221,0.546
Andrei Kirilenko,UTA,29.3,0.259,0.558
Andres Nocioni,CHI,26.5,0.22,0.578
Andrew Bogut,MIL,34.2,0.454,0.566
Andrew Bynum,LAL,21.9,0.34,0.593
Andris Biedrins,GSW,29.1,0.284,0.598
Antawn Jamison,WAS,38.0,0.305,0.545
Anthony Johnson,ATL,19.4,0.514,0.48
Anthony Parker,TOR,33.4,0.25,0.596
Antoine Walker,MIA,23.3,0.491,0.462
Antoine Wright,NJN,18.0,0.218,0.5
Antonio Daniels,WAS,22.0,0.61,0.572
Antonio McDyess,DET,21.1,0.208,0.552
Austin Croshere,DAL,11.9,0.256,0.463
Baron Davis,GSW,35.3,0.739,0.53
Ben Gordon,CHI,33.0,0.552,0.572
Ben Wallace,CHI,35.0,0.406,0.456
Beno Udrih,SAS,13.0,0.378,0.459
Bo Outlaw,ORL,11.2,0.294,0.667
Bobby Jackson,NOK,23.7,0.52,0.5
Boris Diaw,PHX,31.1,0.431,0.57
Bostjan Nachbar,NJN,20.1,0.097,0.614
Brad Miller,SAC,28.3,0.246,0.508
Brandon Roy,POR,35.3,0.662,0.548
Brendan Haywood,WAS,22.6,0.49,0.571
Brent Barry,SAS,21.7,0.099,0.666
Brevin Knight,CHA,28.3,0.539,0.487
Brian Cook,LAL,15.7,0.227,0.525
Brian Scalabrine,BOS,19.0,0.195,0.537
Brian Skinner,MIL,22.7,0.306,0.511
Bruce Bowen,SAS,30.0,0.095,0.511
CJ Miles,UTA,10.1,0.325,0.4
Carlos Arroyo,ORL,18.1,0.754,0.501
Carlos Boozer,UTA,34.6,0.303,0.588
Carlos Delfino,DET,16.7,0.327,0.515
Carmelo Anthony,DEN,38.2,0.399,0.552
Caron Butler,WAS,39.3,0.548,0.537
Cedric Simmons,NOK,12.4,0.309,0.43
Channing Frye,NYK,26.3,0.352,0.464
Charlie Bell,MIL,34.7,0.347,0.53
Charlie Villanueva,MIL,25.2,0.289,0.547
Chauncey Billups,DET,36.2,0.672,0.591
Chris Bosh,TOR,38.5,0.425,0.577
Chris Duhon,CHI,24.4,0.431,0.529
Chris Kaman,LAC,29.0,0.378,0.502
Chris Paul,NOK,36.8,0.827,0.537
Chris Webber,DET,29.9,0.363,0.482
Chris Wilcox,SEA,31.5,0.291,0.568
Chuck Hayes,HOU,22.0,0.271,0.587
Chucky Atkins,MEM,27.5,0.642,0.58
Clifford Robinson,NJN,19.1,0.062,0.434
Corey Maggette,LAC,30.5,0.349,0.583
Corliss Williamson,SAC,19.7,0.369,0.559
Craig Smith,MIN,18.7,0.293,0.558
Cuttino Mobley,LAC,36.4,0.332,0.546
Dahntay Jones,MEM,21.4,0.432,0.542
Dale Davis,DET,10.1,0.485,0.486
Damien Wilkins,SEA,24.8,0.443,0.535
Damon Jones,CLE,19.5,0.27,0.525
Damon Stoudamire,MEM,24.2,0.55,0.493
Dan Gadzuric,MIL,15.6,0.296,0.482
Daniel Ewing,LAC,11.7,0.415,0.495
Daniel Gibson,CLE,16.5,0.306,0.556
Danny Granger,IND,34.0,0.339,0.573
Darius Songaila,WAS,18.9,0.297,0.567
Darko Milicic,ORL,23.9,0.414,0.492
Darrell Armstrong,IND,15.7,0.417,0.547
David Lee,NYK,29.8,0.413,0.652
David Noel,MIL,11.6,0.262,0.47
David Wesley,CLE,10.1,0.227,0.418
David West,NOK,36.5,0.44,0.532
DeSagana Diop,DAL,18.3,0.366,0.503
DeShawn Stevenson,WAS,29.5,0.424,0.542
Delonte West,BOS,32.2,0.444,0.526
DerMarr Johnson,DEN,10.7,0.26,0.414
Derek Anderson,CHA,23.8,0.27,0.586
Derek Fisher,UTA,27.9,0.407,0.51
Deron Williams,UTA,36.9,0.595,0.535
Desmond Mason,NOK,34.3,0.469,0.493
Devean George,DAL,21.4,0.349,0.487
Devin Brown,NOK,28.7,0.408,0.538
Devin Harris,DAL,26.0,0.548,0.574
Dikembe Mutombo,HOU,17.2,0.447,0.601
Dirk Nowitzki,DAL,36.2,0.499,0.605
Donyell Marshall,CLE,16.8,0.167,0.536
Dorell Wright,MIA,19.6,0.352,0.489
Drew Gooden,CLE,28.0,0.394,0.508
