name,team,min,uast,ts
Aaron Williams,NOK,16.5,0.308,0.551
Adonal Foyle,GSW,23.7,0.309,0.524
Adrian Griffin,DAL,23.9,0.429,0.521
Al Harrington,ATL,36.6,0.45,0.513
Al Jefferson,BOS,18.0,0.508,0.53
Alan Anderson,CHA,15.7,0.333,0.52
Alan Henderson,CLE,10.4,0.319,0.564
Allen Iverson,PHI,43.1,0.76,0.543
Alonzo Mourning,MIA,20.0,0.378,0.615
Anderson Varejao,CLE,15.8,0.342,0.541
Andre Iguodala,PHI,37.6,0.328,0.598
Andre Miller,DEN,35.8,0.681,0.532
Andrei Kirilenko,UTA,37.7,0.429,0.556
Andres Nocioni,CHI,27.3,0.295,0.567
Andrew Bogut,MIL,28.6,0.402,0.555
Andris Biedrins,GSW,14.7,0.271,0.595
Antawn Jamison,WAS,40.1,0.288,0.518
Anthony Carter,MIN,13.1,0.509,0.465
Anthony Johnson,IND,26.4,0.554,0.52
Antoine Walker,MIA,26.8,0.44,0.524
Antonio Daniels,WAS,28.5,0.683,0.55
Antonio Davis,TOR,21.4,0.28,0.479
Antonio McDyess,DET,21.1,0.2,0.52
Austin Croshere,IND,23.0,0.189,0.618
Baron Davis,GSW,36.5,0.77,0.489
Ben Gordon,CHI,31.0,0.516,0.531
Ben Wallace,DET,35.2,0.354,0.501
Beno Udrih,SAS,10.9,0.377,0.539
Bernard Robinson,CHA,19.7,0.503,0.498
Bo Outlaw,ORL,11.1,0.4,0.61
Bobby Jackson,MEM,25.0,0.5,0.497
Bobby Simmons,MIL,33.8,0.251,0.559
Bonzi Wells,SAC,32.4,0.412,0.507
Boris Diaw,PHX,35.5,0.492,0.564
Bostjan Nachbar,NJN,13.9,0.333,0.448
Brad Miller,SAC,37.0,0.267,0.576
Brendan Haywood,WAS,23.8,0.495,0.542
Brent Barry,SAS,17.0,0.218,0.581
Brevin Knight,CHA,34.1,0.682,0.478
Brian Cardinal,MEM,11.2,0.152,0.505
Brian Cook,LAL,19.0,0.203,0.578
Brian Scalabrine,BOS,13.2,0.203,0.491
Brian Skinner,POR,14.5,0.5,0.517
Bruce Bowen,SAS,33.6,0.151,0.54
Calbert Cheaney,GSW,10.7,0.381,0.412
Carlos Arroyo,ORL,15.5,0.72,0.512
Carlos Boozer,UTA,31.1,0.306,0.585
Carlos Delfino,DET,10.7,0.275,0.483
Carmelo Anthony,DEN,36.8,0.372,0.563
Caron Butler,WAS,36.1,0.502,0.535
Channing Frye,NYK,24.2,0.374,0.541
Charlie Bell,MIL,21.7,0.339,0.55
Charlie Villanueva,TOR,29.1,0.375,0.521
Chauncey Billups,DET,36.1,0.638,0.602
Chris Andersen,NOK,17.8,0.464,0.562
Chris Bosh,TOR,39.3,0.512,0.585
Chris Duhon,CHI,29.1,0.474,0.538
Chris Kaman,LAC,32.8,0.461,0.57
Chris Mihm,LAL,26.1,0.391,0.552
Chris Paul,NOK,36.0,0.789,0.546
Chris Webber,PHI,38.6,0.371,0.482
Chris Wilcox,SEA,19.9,0.233,0.605
Chuck Hayes,HOU,13.4,0.407,0.589
Chucky Atkins,MEM,24.1,0.558,0.526
Clifford Robinson,NJN,23.3,0.11,0.502
Corey Maggette,LAC,29.5,0.287,0.584
Cuttino Mobley,LAC,37.7,0.422,0.519
Dahntay Jones,MEM,13.6,0.532,0.462
Damien Wilkins,SEA,18.6,0.435,0.529
Damon Jones,CLE,25.5,0.205,0.538
Dan Gadzuric,MIL,12.0,0.187,0.55
Daniel Ewing,LAC,14.7,0.381,0.458
Danny Granger,IND,22.6,0.276,0.54
Darius Miles,POR,32.1,0.464,0.48
Darius Songaila,CHI,21.4,0.195,0.524
Darko Milicic,ORL,13.9,0.319,0.52
David Harrison,IND,15.4,0.297,0.519
David Lee,NYK,16.8,0.336,0.609
David Wesley,HOU,33.4,0.279,0.546
David West,NOK,34.1,0.36,0.554
DeSagana Diop,DAL,18.6,0.333,0.512
DeShawn Stevenson,ORL,32.3,0.343,0.507
Delonte West,BOS,34.0,0.48,0.574
DerMarr Johnson,DEN,15.9,0.205,0.545
Derek Anderson,MIA,24.3,0.435,0.496
Derek Fisher,GSW,31.6,0.484,0.536
Deron Williams,UTA,28.8,0.46,0.5
Desmond Mason,NOK,30.0,0.458,0.46
Devean George,LAL,21.7,0.294,0.484
Devin Brown,UTA,21.1,0.309,0.493
Devin Harris,DAL,22.8,0.616,0.544
Dikembe Mutombo,HOU,14.9,0.38,0.626
Dirk Nowitzki,DAL,38.1,0.493,0.589
Donyell Marshall,CLE,25.6,0.181,0.517
Drew Gooden,CLE,27.5,0.416,0.552
Dwight Howard,ORL,36.8,0.47,0.565
Dwyane Wade,MIA,38.6,0.66,0.577
Earl Boykins,DEN,25.7,0.598,0.513
Earl Watson,SEA,22.5,0.397,0.558
Eddie Griffin,MIN,19.4,0.385,0.397
Eddie House,PHX,17.5,0.284,0.512
Eddie Jones,MEM,32.5,0.247,0.542
Eddy Curry,NYK,25.9,0.313,0.604
Eduardo Najera,DEN,22.6,0.22,0.494
Elton Brand,LAC,39.2,0.405,0.58
Eric Snow,CLE,28.7,0.325,0.444
Erick Dampier,DAL,23.6,0.532,0.531
Etan Thomas,WAS,15.8,0.527,0.56
Flip Murray,CLE,27.8,0.626,0.487
Francisco Elson,DEN,21.9,0.205,0.556
Francisco Garcia,SAC,19.4,0.346,0.51
Fred Jones,IND,27.0,0.567,0.517
Gary Payton,MIA,28.5,0.422,0.52
Gerald Green,BOS,11.7,0.455,0.541
Gerald Wallace,CHA,34.5,0.467,0.578
Gilbert Arenas,WAS,42.3,0.633,0.581
Gordan Giricek,UTA,25.8,0.241,0.482
Greg Buckner,DEN,24.1,0.149,0.556
Greg Ostertag,UTA,13.5,0.393,0.503
Hakim Warrick,MEM,10.6,0.396,0.499
Hedo Turkoglu,ORL,33.5,0.465,0.578
Howard Eisley,DEN,12.3,0.735,0.445
Ike Diogu,GSW,14.9,0.314,0.596
JR Smith,NOK,18.0,0.292,0.515
Jackie Butler,NYK,13.5,0.436,0.587
Jacque Vaughn,NJN,15.4,0.383,0.488
Jake Tsakalidis,MEM,14.4,0.35,0.632
Jake Voskuhl,CHA,16.0,0.219,0.47
Jalen Rose,NYK,27.5,0.51,0.538
Jamaal Magloire,MIL,30.1,0.38,0.494
Jamaal Tinsley,IND,26.7,0.722,0.458
Jamal Crawford,NYK,32.3,0.601,0.544
Jameer Nelson,ORL,28.8,0.669,0.567
James Jones,PHX,23.6,0.148,0.551
James Posey,MIA,28.6,0.145,0.572
James Singleton,LAC,12.8,0.39,0.587
Jannero Pargo,CHI,11.3,0.468,0.455
Jared Jeffries,WAS,25.3,0.46,0.5
Jarrett Jack,POR,20.2,0.667,0.528
Jarron Collins,UTA,21.9,0.372,0.551
Jason Collins,NJN,26.7,0.087,0.425
Jason Hart,SAC,12.4,0.407,0.444
Jason Kapono,MIA,13.0,0.253,0.54
Jason Kidd,NJN,37.2,0.415,0.526
Jason Richardson,GSW,38.4,0.446,0.538
Jason Terry,DAL,35.0,0.494,0.575
Jason Williams,MIA,31.8,0.604,0.561
Jeff Foster,IND,25.1,0.333,0.581
Jermaine O'Neal,IND,35.3,0.353,0.53
Jerry Stackhouse,DAL,27.7,0.525,0.511
Jim Jackson,LAL,12.8,0.34,0.365
Jiri Welsch,MIL,14.9,0.349,0.482
Joe Johnson,ATL,40.7,0.584,0.537
Joe Smith,MIL,20.2,0.207,0.533
Joel Przybilla,POR,24.9,0.328,0.561
Joey Graham,TOR,19.8,0.328,0.564
Johan Petro,SEA,18.9,0.327,0.53
John Salmons,PHI,25.1,0.584,0.508
Jose Calderon,TOR,23.2,0.72,0.495
Josh Childress,ATL,30.4,0.374,0.626
Josh Howard,DAL,32.5,0.546,0.536
Josh Powell,DAL,11.6,0.351,0.546
Josh Smith,ATL,32.0,0.328,0.5
Juan Dixon,POR,25.3,0.479,0.516
Jumaine Jones,CHA,27.5,0.174,0.506
Justin Reed,MIN,13.8,0.319,0.467
Juwan Howard,HOU,31.7,0.294,0.499
Kareem Rush,CHA,23.6,0.343,0.471
Keith Bogans,HOU,26.6,0.433,0.497
Keith McLeod,UTA,18.7,0.433,0.464
Keith Van Horn,DAL,20.6,0.28,0.54
Kendrick Perkins,BOS,19.6,0.504,0.548
Kenny Thomas,SAC,28.0,0.279,0.539
Kenyon Martin,DEN,27.6,0.266,0.533
Kevin Garnett,MIN,38.9,0.395,0.589
Kevin Martin,SAC,26.6,0.344,0.604
Kevin Ollie,PHI,15.3,0.32,0.491
Keyon Dooling,ORL,22.7,0.652,0.513
Kirk Hinrich,CHI,36.5,0.559,0.528
Kirk Snyder,NOK,19.3,0.444,0.537
Kobe Bryant,LAL,41.0,0.562,0.559
Kurt Thomas,PHX,26.6,0.121,0.527
Kwame Brown,LAL,27.5,0.324,0.545
Kyle Korver,PHI,31.3,0.122,0.577
Lamar Odom,LAL,40.3,0.506,0.558
Lamond Murray,NJN,10.1,0.194,0.493
Larry Hughes,CLE,35.6,0.563,0.504
LeBron James,CLE,42.5,0.68,0.568
Leandro Barbosa,PHX,27.9,0.469,0.589
Linton Johnson,NOK,14.6,0.41,0.476
Lorenzen Wright,MEM,21.7,0.304,0.496
Luke Ridnour,SEA,33.2,0.62,0.506
Luke Walton,LAL,19.3,0.4,0.477
Luol Deng,CHI,33.4,0.294,0.517
Luther Head,HOU,28.9,0.421,0.517
Malik Allen,CHI,13.0,0.281,0.504
Malik Rose,NYK,15.5,0.314,0.466
Manu Ginobili,SAS,27.9,0.515,0.593
Marc Jackson,NOK,16.0,0.431,0.512
Marcus Banks,MIN,25.8,0.635,0.543
Marcus Camby,DEN,33.2,0.278,0.499
Mark Blount,MIN,27.6,0.26,0.549
Mark Madsen,MIN,10.9,0.333,0.427
Marko Jaric,MIN,28.0,0.496,0.468
Marquis Daniels,DAL,28.5,0.626,0.535
Martell Webster,POR,17.5,0.295,0.533
Marvin Williams,ATL,24.7,0.264,0.523
Matt Barnes,PHI,11.3,0.286,0.545
Matt Bonner,TOR,21.9,0.187,0.582
Matt Carroll,CHA,16.4,0.26,0.54
Matt Harpring,UTA,27.4,0.196,0.542
Maurice Evans,DET,14.2,0.253,0.545
Maurice Taylor,NYK,18.0,0.511,0.496
Mehmet Okur,UTA,35.9,0.318,0.554
Melvin Ely,CHA,23.7,0.519,0.55
Metta World Peace,SAC,39.4,0.566,0.491
Michael Doleac,MIA,12.0,0.243,0.484
Michael Finley,SAS,26.5,0.206,0.523
Michael Olowokandi,BOS,19.1,0.374,0.456
Michael Redd,MIL,39.1,0.413,0.574
Michael Ruffin,WAS,13.3,0.647,0.479
Michael Sweetney,CHI,18.5,0.395,0.499
Mickael Pietrus,GSW,22.7,0.278,0.5
Mike Bibby,SAC,38.6,0.425,0.554
Mike Dunleavy,GSW,31.8,0.269,0.503
Mike James,TOR,37.0,0.701,0.583
Mike Miller,MEM,30.6,0.364,0.595
Mikki Moore,SEA,12.4,0.352,0.509
Milt Palacio,UTA,19.4,0.538,0.47
Mo Williams,MIL,26.4,0.581,0.518
Monta Ellis,GSW,18.1,0.47,0.486
Morris Peterson,TOR,38.3,0.328,0.561
Nate Robinson,NYK,21.4,0.583,0.512
Nazr Mohammed,SAS,17.4,0.411,0.56
Nenad Krstic,NJN,30.9,0.224,0.541
Nick Collison,SEA,21.9,0.372,0.556
Nick Van Exel,SAS,15.2,0.529,0.492
Orien Greene,BOS,15.4,0.49,0.449
Othella Harrington,CHI,11.4,0.363,0.53
P.J. Brown,NOK,31.7,0.227,0.515
Pape Sow,TOR,14.0,0.358,0.496
Pat Garrity,ORL,16.5,0.139,0.546
Pau Gasol,MEM,39.2,0.503,0.555
