name,team,min,uast,ts
Aaron McKie,PHI,28.2,0.332,0.55
Aaron Williams,NJN,18.6,0.221,0.549
Adonal Foyle,GSW,13.1,0.356,0.471
Al Harrington,IND,30.9,0.399,0.514
Allan Houston,NYK,35.9,0.368,0.539
Allen Iverson,PHI,42.6,0.621,0.478
Alvin Williams,TOR,31.0,0.398,0.463
Amal McCaskill,PHI,10.7,0.426,0.438
Amar'e Stoudemire,PHX,36.8,0.54,0.536
Andre Miller,DEN,34.7,0.64,0.541
Andrei Kirilenko,UTA,37.3,0.4,0.559
Andrew DeClercq,ORL,17.0,0.452,0.526
Anfernee Hardaway,NYK,27.6,0.366,0.472
Ansu Sesay,SEA,10.1,0.346,0.504
Antawn Jamison,DAL,29.0,0.248,0.581
Anthony Johnson,IND,22.0,0.371,0.497
Anthony Peeler,SAC,18.4,0.192,0.575
Antoine Walker,DAL,34.6,0.47,0.475
Antonio Daniels,SEA,21.3,0.551,0.596
Antonio Davis,CHI,32.2,0.331,0.465
Antonio McDyess,PHX,22.1,0.286,0.486
Austin Croshere,IND,13.6,0.235,0.549
Avery Johnson,GSW,13.8,0.888,0.454
Baron Davis,NOH,40.1,0.632,0.492
Ben Wallace,DET,37.8,0.381,0.441
Bo Outlaw,MEM,19.7,0.289,0.522
Bob Sura,ATL,20.7,0.52,0.51
Bobby Jackson,SAC,23.8,0.452,0.538
Bobby Simmons,LAC,24.5,0.367,0.488
Bonzi Wells,MEM,26.0,0.32,0.476
Boris Diaw,ATL,25.2,0.429,0.483
Bostjan Nachbar,HOU,11.3,0.255,0.477
Brad Miller,SAC,36.5,0.265,0.579
Brandon Hunter,BOS,11.2,0.566,0.463
Brendan Haywood,WAS,19.4,0.5,0.547
Brent Barry,SEA,30.6,0.33,0.668
Brevin Knight,MIL,18.5,0.533,0.475
Brian Cardinal,GSW,21.5,0.214,0.626
Brian Cook,LAL,12.5,0.179,0.505
Brian Grant,MIA,30.3,0.225,0.502
Brian Scalabrine,NJN,13.3,0.174,0.482
Brian Skinner,MIL,28.2,0.376,0.513
Bruce Bowen,SAS,32.0,0.242,0.512
Bryon Russell,LAL,13.0,0.133,0.53
Calbert Cheaney,GSW,26.1,0.284,0.493
Calvin Booth,SEA,16.9,0.252,0.521
Carlos Arroyo,UTA,28.2,0.605,0.517
Carlos Boozer,CLE,34.6,0.304,0.567
Carmelo Anthony,DEN,36.5,0.446,0.509
Caron Butler,MIA,29.8,0.325,0.44
Casey Jacobsen,PHX,23.5,0.26,0.57
Charlie Ward,SAS,17.6,0.456,0.528
Chauncey Billups,DET,35.5,0.543,0.55
