name,team,min,uast,ts
Aaron McKie,PHI,16.6,0.197,0.51
Adonal Foyle,GSW,21.8,0.359,0.514
Al Harrington,ATL,38.6,0.53,0.508
Al Jefferson,BOS,14.7,0.415,0.554
Alan Henderson,DAL,15.3,0.448,0.539
Allen Iverson,PHI,42.3,0.777,0.532
Alonzo Mourning,MIA,19.0,0.33,0.515
Amar'e Stoudemire,PHX,36.1,0.403,0.617
Anderson Varejao,CLE,16.1,0.394,0.534
Andre Barrett,ORL,12.6,0.422,0.446
Andre Iguodala,PHI,32.7,0.286,0.58
Andre Miller,DEN,34.7,0.55,0.541
Andrei Kirilenko,UTA,33.0,0.319,0.599
Andres Nocioni,CHI,23.4,0.34,0.484
Anfernee Hardaway,NYK,24.2,0.445,0.48
Antawn Jamison,WAS,38.4,0.299,0.506
Anthony Carter,MIN,10.8,0.417,0.454
Anthony Goldwire,MIL,16.1,0.281,0.575
Anthony Johnson,IND,27.9,0.601,0.526
Anthony Peeler,WAS,13.2,0.232,0.484
Antoine Walker,BOS,38.5,0.559,0.478
Antonio Daniels,SEA,27.0,0.696,0.557
Antonio Davis,CHI,25.6,0.29,0.516
Antonio McDyess,DET,23.4,0.225,0.542
Austin Croshere,IND,25.0,0.33,0.531
Baron Davis,GSW,34.4,0.677,0.515
Ben Gordon,CHI,24.6,0.516,0.526
Ben Wallace,DET,36.1,0.366,0.459
Beno Udrih,SAS,14.4,0.318,0.549
Bernard Robinson,CHA,10.6,0.5,0.503
Bob Sura,HOU,31.6,0.456,0.533
Bobby Simmons,LAC,37.5,0.245,0.54
Bonzi Wells,MEM,21.6,0.298,0.515
Boris Diaw,ATL,18.1,0.419,0.479
Bostjan Nachbar,NOH,18.9,0.298,0.534
Brad Miller,SAC,37.4,0.295,0.596
Brendan Haywood,WAS,27.5,0.46,0.588
Brent Barry,SAS,21.4,0.191,0.58
Brevin Knight,CHA,29.5,0.742,0.495
Brian Cardinal,MEM,24.7,0.319,0.51
Brian Cook,LAL,15.0,0.153,0.522
Brian Grant,LAL,16.6,0.272,0.539
Brian Scalabrine,NJN,21.6,0.235,0.468
Brian Skinner,SAC,19.3,0.471,0.494
Bruce Bowen,SAS,32.0,0.131,0.521
Bryon Russell,DEN,14.7,0.189,0.537
Calbert Cheaney,GSW,17.2,0.274,0.444
Carlos Arroyo,DET,20.6,0.617,0.466
Carlos Boozer,UTA,34.9,0.321,0.56
Carmelo Anthony,DEN,34.8,0.366,0.526
Caron Butler,LAL,35.6,0.349,0.528
Casey Jacobsen,NOH,21.5,0.315,0.555
Chauncey Billups,DET,35.9,0.502,0.609
Chris Andersen,NOH,21.3,0.366,0.581
Chris Bosh,TOR,37.2,0.385,0.547
Chris Duhon,CHI,26.5,0.326,0.471
Chris Kaman,LAC,26.0,0.415,0.522
Chris Mihm,LAL,25.0,0.361,0.552
Chris Webber,PHI,35.4,0.346,0.472
Chris Wilcox,LAC,18.6,0.355,0.543
Christian Laettner,MIA,15.1,0.29,0.619
Chucky Atkins,LAL,35.5,0.402,0.558
Clar. Weatherspoon,HOU,13.1,0.255,0.475
Clifford Robinson,NJN,23.9,0.153,0.471
Corey Maggette,LAC,37.1,0.32,0.574
Corliss Williamson,SAC,21.3,0.374,0.536
Curtis Borchardt,UTA,12.8,0.392,0.492
Cuttino Mobley,SAC,36.3,0.449,0.555
Dahntay Jones,MEM,12.4,0.361,0.534
Dale Davis,IND,21.4,0.366,0.512
Damon Jones,MIA,31.4,0.32,0.625
