name,team,min,uast,ts
AJ Price,IND,12.9,0.559,0.454
Aaron Gray,TOR,16.6,0.337,0.526
Al Harrington,DEN,27.5,0.299,0.535
Al Jefferson,UTA,34.0,0.477,0.52
Al-Farouq Aminu,NOH,22.4,0.373,0.481
Alec Burks,UTA,15.9,0.451,0.506
Alonzo Gee,CLE,29.0,0.436,0.516
Amar'e Stoudemire,NYK,32.8,0.386,0.541
Amir Johnson,TOR,24.3,0.306,0.6
Andre Iguodala,PHI,35.6,0.498,0.537
Andre Miller,DEN,27.4,0.694,0.51
Andrea Bargnani,TOR,33.3,0.306,0.538
Andrew Bynum,LAL,35.2,0.324,0.594
Andrew Goudelock,LAL,10.5,0.471,0.488
Andris Biedrins,GSW,15.7,0.231,0.581
Antawn Jamison,CLE,33.1,0.221,0.481
Anthony Morrow,NJN,26.4,0.228,0.531
Anthony Parker,CLE,25.1,0.319,0.523
Anthony Randolph,MIN,15.2,0.309,0.532
Anthony Tolliver,MIN,17.3,0.183,0.504
Arron Afflalo,DEN,33.7,0.237,0.584
Austin Daye,DET,14.7,0.356,0.394
Avery Bradley,BOS,21.4,0.33,0.555
Ben Gordon,DET,26.9,0.453,0.549
Ben Wallace,DET,15.8,0.441,0.398
Beno Udrih,MIL,18.3,0.425,0.488
Bismack Biyombo,CHA,23.1,0.302,0.48
Blake Griffin,LAC,36.2,0.373,0.557
Boris Diaw,SAS,25.0,0.314,0.498
Brandan Wright,DAL,16.2,0.201,0.632
Brandon Bass,BOS,31.7,0.228,0.524
Brandon Jennings,MIL,35.3,0.612,0.514
Brandon Knight,DET,32.2,0.52,0.511
Brandon Rush,GSW,26.4,0.264,0.628
Brendan Haywood,DAL,21.2,0.356,0.52
Byron Mullens,CHA,22.5,0.267,0.473
C.J. Watson,CHI,23.7,0.547,0.491
CJ Miles,UTA,20.4,0.429,0.484
Carl Landry,NOH,24.4,0.505,0.577
Carlos Boozer,CHI,29.5,0.275,0.549
Carlos Delfino,MIL,28.5,0.33,0.515
Carmelo Anthony,NYK,34.1,0.621,0.525
Caron Butler,LAC,29.7,0.244,0.501
Chandler Parsons,HOU,28.6,0.403,0.513
Channing Frye,PHX,26.1,0.271,0.519
Charles Jenkins,GSW,17.5,0.654,0.482
Chase Budinger,HOU,22.4,0.221,0.556
Chris Andersen,DEN,15.2,0.356,0.583
Chris Bosh,MIA,35.2,0.351,0.551
Chris Duhon,ORL,19.5,0.482,0.558
Chris Kaman,NOH,29.2,0.353,0.478
Chris Paul,LAC,36.3,0.821,0.581
Chris Singleton,WAS,21.7,0.276,0.462
Chuck Hayes,SAC,19.2,0.411,0.459
Corey Brewer,DEN,21.8,0.214,0.505
Corey Maggette,CHA,27.5,0.266,0.517
Cory Higgins,CHA,11.1,0.596,0.402
Courtney Lee,HOU,30.3,0.382,0.534
D.J. Augustin,CHA,29.3,0.639,0.493
DJ White,CHA,18.9,0.316,0.516
Daequan Cook,OKC,17.4,0.119,0.509
Dahntay Jones,IND,16.2,0.4,0.533
Damien Wilkins,DET,15.4,0.382,0.445
Daniel Gibson,CLE,26.2,0.23,0.493
Danilo Gallinari,DEN,31.4,0.383,0.563
Danny Granger,IND,33.3,0.427,0.542
Danny Green,SAS,23.1,0.242,0.579
Dante Cunningham,MEM,17.6,0.285,0.538
Darren Collison,IND,31.3,0.648,0.526
David Lee,GSW,37.2,0.377,0.549
David West,IND,29.2,0.461,0.531
DeAndre Jordan,LAC,27.2,0.34,0.626
DeJuan Blair,SAS,21.3,0.253,0.549
DeMar DeRozan,TOR,35.0,0.36,0.503
DeMarcus Cousins,SAC,30.5,0.531,0.499
DeShawn Stevenson,NJN,18.8,0.204,0.413
Delonte West,DAL,24.1,0.711,0.539
