name,team,min,uast,ts
Aaron Brooks,HOU,25.0,0.633,0.521
Aaron Gray,CHI,12.8,0.593,0.508
Acie Law,ATL,10.2,0.75,0.49
Adam Morrison,LAL,13.7,0.313,0.448
Al Harrington,NYK,34.9,0.496,0.547
Al Horford,ATL,33.5,0.337,0.565
Al Jefferson,MIN,36.7,0.478,0.532
Al Thornton,LAC,37.4,0.414,0.502
Allen Iverson,DET,36.7,0.69,0.504
Amar'e Stoudemire,PHX,36.8,0.428,0.617
Amir Johnson,DET,14.7,0.423,0.608
Anderson Varejao,CLE,28.5,0.215,0.565
Andray Blatche,WAS,24.0,0.498,0.508
Andre Iguodala,PHI,39.9,0.485,0.56
Andre Miller,PHI,36.3,0.699,0.548
Andrea Bargnani,TOR,31.5,0.23,0.559
Andrei Kirilenko,UTA,27.3,0.23,0.549
Andres Nocioni,SAC,26.2,0.254,0.555
Andrew Bogut,MIL,31.2,0.426,0.586
Andrew Bynum,LAL,28.9,0.363,0.598
Andris Biedrins,GSW,30.1,0.364,0.585
Antawn Jamison,WAS,38.2,0.301,0.549
Anthony Carter,DEN,22.9,0.347,0.49
Anthony Johnson,ORL,18.5,0.623,0.505
Anthony Morrow,GSW,22.6,0.341,0.588
Anthony Parker,TOR,33.0,0.374,0.524
Anthony Randolph,GSW,17.9,0.523,0.506
Antoine Wright,DAL,23.9,0.408,0.501
Antonio Daniels,NOH,13.8,0.616,0.536
Antonio McDyess,DET,30.1,0.134,0.529
Arron Afflalo,DET,16.7,0.336,0.548
Baron Davis,LAC,34.6,0.755,0.46
Ben Gordon,CHI,36.6,0.552,0.573
Ben Wallace,CLE,23.5,0.362,0.45
Beno Udrih,SAC,31.1,0.639,0.525
Bobby Brown,MIN,13.7,0.624,0.476
Bobby Jackson,SAC,20.9,0.508,0.502
Bobby Simmons,NJN,24.4,0.202,0.596
Boris Diaw,CHA,34.0,0.364,0.565
Brad Miller,CHI,30.0,0.325,0.566
Brandan Wright,GSW,17.7,0.269,0.57
Brandon Bass,DAL,19.4,0.302,0.571
Brandon Roy,POR,37.2,0.67,0.573
Brandon Rush,IND,24.0,0.37,0.505
Brent Barry,HOU,15.3,0.114,0.575
Brevin Knight,UTA,12.7,0.439,0.414
Brian Cardinal,MIN,14.2,0.138,0.515
Brian Scalabrine,BOS,12.9,0.042,0.558
Brian Skinner,LAC,16.5,0.37,0.474
Brook Lopez,NJN,30.5,0.355,0.568
Bruce Bowen,SAS,18.8,0.101,0.539
C.J. Watson,GSW,24.5,0.56,0.564
CJ Miles,UTA,22.5,0.256,0.546
Carl Landry,HOU,21.3,0.329,0.634
Carlos Boozer,UTA,32.3,0.367,0.523
Carmelo Anthony,DEN,34.5,0.52,0.532
Caron Butler,WAS,38.6,0.589,0.552
Channing Frye,POR,11.8,0.186,0.465
Charlie Bell,MIL,25.5,0.35,0.525
Charlie Villanueva,MIL,26.9,0.347,0.529
Chauncey Billups,DEN,35.3,0.693,0.592
Chris Andersen,DEN,20.6,0.363,0.608
Chris Bosh,TOR,38.0,0.475,0.569
Chris Douglas-Roberts,NJN,13.3,0.506,0.531
Chris Duhon,NYK,36.8,0.679,0.569
Chris Kaman,LAC,29.7,0.286,0.552
Chris Paul,NOH,38.5,0.857,0.599
Chris Quinn,MIA,14.6,0.432,0.539
Chris Wilcox,NYK,16.9,0.429,0.518
Chuck Hayes,HOU,12.1,0.333,0.375
Chucky Atkins,OKC,12.5,0.265,0.408
Corey Maggette,GSW,31.1,0.438,0.582
Courtney Lee,ORL,25.2,0.321,0.556
Craig Smith,MIN,19.7,0.412,0.599
D.J. Augustin,CHA,26.5,0.562,0.587
Daequan Cook,MIA,24.4,0.178,0.512
Dahntay Jones,DEN,18.0,0.383,0.533
Damien Wilkins,OKC,15.5,0.286,0.467
Dan Gadzuric,MIL,14.0,0.359,0.495
Daniel Gibson,CLE,23.9,0.306,0.519
Danny Granger,IND,36.2,0.443,0.584
Darius Songaila,WAS,19.8,0.202,0.57
Darko Milicic,MEM,17.0,0.328,0.533
Darrell Arthur,MEM,19.3,0.225,0.456
David Lee,NYK,34.9,0.335,0.59
David West,NOH,39.2,0.418,0.54
DeAndre Jordan,LAC,14.6,0.323,0.585
DeSagana Diop,CHA,13.8,0.324,0.425
DeShawn Stevenson,WAS,27.7,0.472,0.41
Delonte West,CLE,33.6,0.523,0.559
Derek Fisher,LAL,29.8,0.414,0.546
Deron Williams,UTA,36.8,0.739,0.573
Derrick Rose,CHI,37.0,0.645,0.516
Desmond Mason,OKC,27.3,0.387,0.456
Devean George,DAL,16.5,0.241,0.485
Devin Brown,NOH,13.8,0.45,0.459
Devin Harris,NJN,36.1,0.765,0.563
Dirk Nowitzki,DAL,37.7,0.444,0.564
Dominic McGuire,WAS,26.2,0.421,0.483
Donte Greene,SAC,13.2,0.234,0.416
Drew Gooden,SAS,24.8,0.422,0.526
Dwight Howard,ORL,35.7,0.488,0.6
Dwyane Wade,MIA,38.6,0.742,0.574
Earl Watson,OKC,26.1,0.741,0.448
Eddie House,BOS,18.3,0.197,0.592
Emeka Okafor,CHA,32.8,0.263,0.581
Eric Gordon,LAC,34.3,0.358,0.593
Erick Dampier,DAL,22.9,0.357,0.664
Fabricio Oberto,SAS,12.5,0.246,0.595
Flip Murray,ATL,24.7,0.589,0.543
Francisco Elson,MIL,16.6,0.361,0.537
Francisco Garcia,SAC,30.4,0.427,0.554
Fred Jones,LAC,28.8,0.31,0.536
George Hill,SAS,16.5,0.493,0.502
Gerald Wallace,CHA,37.6,0.46,0.585
Glen Davis,BOS,21.5,0.226,0.502
Goran Dragic,PHX,13.2,0.659,0.487
Grant Hill,PHX,29.8,0.328,0.584
Greg Buckner,MEM,13.9,0.311,0.456
Greg Oden,POR,21.5,0.5,0.599
Hakim Warrick,MEM,24.7,0.353,0.554
Hedo Turkoglu,ORL,36.6,0.598,0.541
Hilton Armstrong,NOH,15.6,0.413,0.585
Ime Udoka,SAS,15.5,0.255,0.47
J.J. Barea,DAL,20.3,0.732,0.516
JJ Hickson,CLE,11.4,0.24,0.548
JJ Redick,ORL,17.3,0.274,0.562
JR Smith,DEN,27.7,0.469,0.576
JaVale McGee,WAS,15.2,0.408,0.534
Jamaal Magloire,MIA,12.9,0.431,0.505
Jamal Crawford,GSW,38.1,0.606,0.545
Jamario Moon,MIA,25.9,0.23,0.567
Jameer Nelson,ORL,31.2,0.73,0.612
James Jones,MIA,15.7,0.127,0.52
James Posey,NOH,28.5,0.319,0.568
James Singleton,DAL,14.3,0.359,0.615
Jared Dudley,PHX,17.0,0.309,0.562
Jared Jeffries,NYK,23.4,0.3,0.473
Jarrett Jack,IND,33.1,0.583,0.554
Jarvis Hayes,NJN,24.8,0.198,0.537
Jason Collins,MIN,13.6,0.409,0.346
Jason Kapono,TOR,22.9,0.123,0.525
Jason Kidd,DAL,35.6,0.37,0.55
