name,team,min,uast,ts
Isaiah Rider,LAL,18.0,0.468,0.499
Jacque Vaughn,UTA,19.8,0.624,0.535
Jahidi White,WAS,23.6,0.438,0.535
Jake Tsakalidis,PHX,16.6,0.337,0.502
Jalen Rose,IND,40.9,0.437,0.53
Jamaal Magloire,CHH,14.8,0.303,0.506
Jamal Crawford,CHI,17.2,0.364,0.442
Jamal Mashburn,CHH,39.4,0.401,0.493
James Posey,DEN,27.5,0.243,0.511
Jason Caffey,MIL,20.8,0.335,0.544
Jason Kidd,PHX,39.8,0.59,0.51
Jason Terry,ATL,37.7,0.57,0.531
Jason Williams,SAC,29.7,0.541,0.498
Jeff Foster,IND,16.3,0.34,0.492
Jeff McInnis,LAC,34.9,0.632,0.521
Jelani McCoy,SEA,16.3,0.391,0.52
Jermaine O'Neal,IND,32.6,0.401,0.501
Jerome Williams,TOR,20.0,0.39,0.526
Jerry Stackhouse,DET,40.1,0.495,0.521
Jim Jackson,CLE,30.2,0.49,0.455
Joe Smith,DET,28.1,0.37,0.475
John Amaechi,ORL,20.9,0.481,0.455
John Starks,UTA,28.3,0.15,0.476
John Stockton,UTA,29.2,0.512,0.61
John Wallace,DET,13.2,0.48,0.463
Johnny Newman,NJN,25.0,0.419,0.542
Jon Barry,SAC,16.3,0.311,0.55
Jud Buechler,DET,12.9,0.12,0.568
Jumaine Jones,PHI,13.3,0.197,0.51
Juwan Howard,DAL,36.7,0.372,0.527
Karl Malone,UTA,35.7,0.178,0.572
Keith Van Horn,NJN,35.3,0.315,0.526
Kelvin Cato,HOU,17.8,0.078,0.606
Kendall Gill,NJN,28.7,0.383,0.39
Kenny Anderson,BOS,25.8,0.557,0.476
Kenny Thomas,HOU,24.6,0.374,0.507
Kenyon Martin,NJN,33.4,0.303,0.472
Keon Clark,TOR,21.2,0.345,0.512
Kevin Edwards,VAN,13.8,0.214,0.414
Kevin Garnett,MIN,39.5,0.355,0.531
Kevin Ollie,PHI,13.2,0.382,0.467
Kevin Willis,DEN,23.4,0.332,0.478
Keyon Dooling,LAC,16.3,0.716,0.509
Khalid El-Amin,CHI,18.7,0.557,0.458
Kobe Bryant,LAL,41.0,0.582,0.552
Kurt Thomas,NYK,27.6,0.264,0.566
LaPhonso Ellis,MIN,23.7,0.372,0.524
Lamar Odom,LAC,37.2,0.541,0.536
Lamond Murray,CLE,28.5,0.353,0.49
Laron Profit,WAS,17.3,0.5,0.47
