name,team,min,uast,ts
Aaron Brooks,CHI,16.1,0.739,0.494
Aaron Gordon,ORL,23.9,0.412,0.541
Al Horford,ATL,32.1,0.187,0.565
Al Jefferson,CHA,23.3,0.445,0.507
Al-Farouq Aminu,POR,28.5,0.264,0.533
Alec Burks,UTA,25.7,0.672,0.52
Alex Len,PHX,23.3,0.33,0.482
Alexis Ajinca,NOP,14.6,0.233,0.514
Allen Crabbe,POR,26.0,0.161,0.572
Alonzo Gee,NOP,22.4,0.265,0.572
Amar'e Stoudemire,MIA,14.7,0.288,0.599
Amir Johnson,BOS,22.8,0.325,0.602
Andre Drummond,DET,32.9,0.469,0.499
Andre Iguodala,GSW,26.6,0.273,0.565
Andre Miller,SAS,11.8,0.644,0.6
Andre Roberson,OKC,22.2,0.228,0.566
Andrea Bargnani,BKN,13.8,0.134,0.5
Andrew Bogut,GSW,20.7,0.24,0.623
Andrew Nicholson,ORL,14.7,0.466,0.567
Andrew Wiggins,MIN,35.1,0.46,0.543
Anthony Davis,NOP,35.5,0.259,0.559
Anthony Morrow,OKC,13.6,0.25,0.543
Anthony Tolliver,DET,18.6,0.063,0.543
Archie Goodwin,PHX,19.5,0.608,0.498
Aron Baynes,DET,15.2,0.247,0.563
Arron Afflalo,NYK,33.4,0.401,0.531
Austin Rivers,LAC,21.8,0.527,0.523
Avery Bradley,BOS,33.4,0.268,0.538
Ben McLemore,SAC,21.2,0.231,0.531
Beno Udrih,MEM,16.1,0.547,0.496
Bismack Biyombo,TOR,22.0,0.263,0.586
Blake Griffin,LAC,33.4,0.359,0.544
Bobby Portis,CHI,17.8,0.344,0.469
Bojan Bogdanovic,BKN,26.8,0.284,0.55
Boris Diaw,SAS,18.2,0.46,0.582
Bradley Beal,WAS,31.1,0.462,0.547
Brandon Bass,LAL,20.3,0.236,0.619
Brandon Jennings,ORL,18.1,0.589,0.491
Brandon Knight,PHX,36.0,0.633,0.522
Brandon Rush,GSW,14.6,0.072,0.56
Brook Lopez,BKN,33.7,0.408,0.562
C.J. Watson,ORL,19.9,0.426,0.461
CJ McCollum,POR,34.7,0.638,0.544
CJ Miles,IND,22.9,0.278,0.547
Cameron Payne,OKC,12.2,0.658,0.49
Carl Landry,PHI,15.8,0.23,0.605
Carmelo Anthony,NYK,35.1,0.64,0.53
Chandler Parsons,DAL,29.5,0.394,0.589
Channing Frye,CLE,17.1,0.099,0.586
Charlie Villanueva,DAL,10.7,0.28,0.473
Chase Budinger,PHX,14.1,0.317,0.514
Chris Bosh,MIA,33.5,0.31,0.571
Chris Johnson,UTA,12.2,0.333,0.482
Chris Paul,LAC,32.7,0.833,0.575
Clint Capela,HOU,19.1,0.333,0.553
Cody Zeller,CHA,24.3,0.212,0.592
Cole Aldrich,LAC,13.3,0.224,0.626
Corey Brewer,HOU,20.4,0.241,0.481
Cory Joseph,TOR,25.6,0.72,0.512
Courtney Lee,CHA,29.6,0.283,0.551
Cristiano Felicio,CHI,10.3,0.2,0.601
D'Angelo Russell,LAL,28.2,0.589,0.507
D.J. Augustin,DEN,19.0,0.608,0.575
Damian Lillard,POR,35.7,0.697,0.56
Danilo Gallinari,DEN,34.7,0.411,0.582
Danny Green,SAS,26.1,0.147,0.492
Dante Cunningham,NOP,24.6,0.102,0.54
