name,team,min,uast,ts
AJ Price,IND,15.5,0.621,0.53
Aaron Brooks,HOU,35.6,0.607,0.549
Al Harrington,NYK,30.5,0.444,0.546
Al Horford,ATL,35.1,0.347,0.594
Al Jefferson,MIN,32.4,0.552,0.524
Al Thornton,WAS,27.7,0.378,0.523
Amar'e Stoudemire,PHX,34.6,0.388,0.615
Amir Johnson,TOR,17.7,0.322,0.639
Anderson Varejao,CLE,28.5,0.236,0.598
Andray Blatche,WAS,27.9,0.464,0.519
Andre Iguodala,PHI,38.9,0.51,0.535
Andre Miller,POR,30.5,0.708,0.53
Andrea Bargnani,TOR,35.0,0.246,0.552
Andrei Kirilenko,UTA,29.0,0.242,0.588
Andres Nocioni,SAC,19.7,0.282,0.504
Andrew Bogut,MIL,32.3,0.476,0.54
Andrew Bynum,LAL,30.4,0.413,0.608
Andris Biedrins,GSW,23.1,0.296,0.561
Antawn Jamison,CLE,36.5,0.249,0.529
Anthony Carter,DEN,15.9,0.342,0.482
Anthony Johnson,ORL,13.1,0.612,0.543
Anthony Morrow,GSW,29.2,0.343,0.597
Anthony Parker,CLE,28.3,0.136,0.576
Anthony Randolph,GSW,22.7,0.423,0.521
Anthony Tolliver,GSW,31.0,0.15,0.531
Antoine Wright,TOR,20.8,0.444,0.502
Antonio McDyess,SAS,21.0,0.146,0.492
Arron Afflalo,DEN,27.1,0.287,0.576
Austin Daye,DET,13.3,0.343,0.546
Baron Davis,LAC,33.6,0.769,0.501
Ben Gordon,DET,27.9,0.536,0.534
Ben Wallace,DET,28.6,0.405,0.526
Beno Udrih,SAC,31.4,0.583,0.566
Bobby Brown,LAC,11.5,0.557,0.441
Boris Diaw,CHA,35.4,0.255,0.552
Brad Miller,CHI,23.8,0.308,0.53
Brandon Bass,ORL,13.0,0.487,0.556
Brandon Jennings,MIL,32.6,0.674,0.475
Brandon Roy,POR,37.2,0.654,0.568
Brandon Rush,IND,30.4,0.279,0.522
Brendan Haywood,DAL,30.6,0.417,0.588
Brook Lopez,NJN,36.9,0.432,0.57
C.J. Watson,GSW,27.5,0.457,0.555
CJ Miles,UTA,23.8,0.307,0.515
Carl Landry,SAC,30.9,0.437,0.6
Carlos Arroyo,MIA,22.0,0.618,0.529
Carlos Boozer,UTA,34.3,0.258,0.599
Carlos Delfino,MIL,30.4,0.274,0.526
Carmelo Anthony,DEN,38.2,0.584,0.548
Caron Butler,DAL,37.6,0.496,0.507
Channing Frye,PHX,27.0,0.161,0.598
Charlie Bell,MIL,22.7,0.243,0.486
Charlie Villanueva,DET,23.7,0.361,0.526
Chase Budinger,HOU,20.1,0.169,0.545
Chauncey Billups,DEN,34.1,0.629,0.601
Chris Andersen,DEN,22.3,0.289,0.631
Chris Bosh,TOR,36.1,0.502,0.592
Chris Douglas-Roberts,NJN,25.8,0.447,0.512
Chris Duhon,NYK,30.9,0.506,0.501
Chris Hunter,GSW,13.0,0.303,0.546
Chris Kaman,LAC,34.3,0.295,0.527
Chris Paul,NOH,38.1,0.876,0.584
Chris Wilcox,DET,13.0,0.349,0.532
Chuck Hayes,HOU,21.6,0.416,0.5
Chucky Atkins,DET,16.1,0.491,0.477
Corey Brewer,MIN,30.3,0.34,0.502
Corey Maggette,GSW,29.7,0.411,0.615
Courtney Lee,NJN,33.5,0.399,0.525
Craig Smith,LAC,16.4,0.341,0.599
D.J. Augustin,CHA,18.4,0.488,0.516
Daequan Cook,MIA,15.4,0.309,0.422
Dahntay Jones,IND,24.9,0.502,0.527
Damien Wilkins,MIN,19.8,0.442,0.515
Daniel Gibson,CLE,19.1,0.224,0.613
Danilo Gallinari,NYK,33.9,0.339,0.575
Danny Granger,IND,36.7,0.453,0.564
Dante Cunningham,POR,11.2,0.132,0.517
Darius Songaila,NOH,18.8,0.191,0.522
Darko Milicic,MIN,21.4,0.5,0.497
Darrell Arthur,MEM,14.3,0.333,0.449
Darren Collison,NOH,27.7,0.676,0.546
David Andersen,HOU,14.1,0.286,0.497
David Lee,NYK,37.3,0.362,0.584
David West,NOH,36.4,0.43,0.56
DeAndre Jordan,LAC,16.2,0.34,0.571
DeJuan Blair,SAS,18.2,0.404,0.564
DeMar DeRozan,TOR,21.6,0.322,0.554
DeMarre Carroll,MEM,11.2,0.341,0.426
DeShawn Stevenson,DAL,13.8,0.217,0.381
Delonte West,CLE,25.0,0.608,0.53
Derek Fisher,LAL,27.2,0.33,0.499
Deron Williams,UTA,36.9,0.532,0.574
Derrick Rose,CHI,36.8,0.685,0.532
Devean George,GSW,16.9,0.236,0.56
Devin Brown,CHI,21.2,0.316,0.5
Devin Harris,NJN,34.7,0.683,0.512
Dirk Nowitzki,DAL,37.5,0.385,0.578
Donte Greene,SAC,21.4,0.332,0.526
Dorell Wright,MIA,20.8,0.299,0.567
Drew Gooden,LAC,25.1,0.451,0.547
Dwight Howard,ORL,34.7,0.504,0.63
Dwyane Wade,MIA,36.3,0.723,0.562
Earl Boykins,WAS,16.7,0.767,0.498
Earl Watson,IND,29.4,0.587,0.517
Eddie House,NYK,17.9,0.231,0.495
Eduardo Najera,DAL,14.9,0.177,0.501
Elton Brand,PHI,30.2,0.434,0.518
Emeka Okafor,NOH,28.9,0.325,0.547
Eric Gordon,LAC,36.0,0.347,0.571
Eric Maynor,OKC,15.7,0.76,0.478
Erick Dampier,DAL,23.3,0.353,0.637
Ersan Ilyasova,MIL,23.4,0.235,0.526
Fabricio Oberto,WAS,11.4,0.057,0.654
Flip Murray,CHI,22.3,0.474,0.485
George Hill,SAS,29.2,0.476,0.572
Gerald Wallace,CHA,41.0,0.386,0.586
Gilbert Arenas,WAS,36.5,0.751,0.511
Glen Davis,BOS,17.3,0.32,0.5
Goran Dragic,PHX,18.0,0.604,0.566
Grant Hill,PHX,30.0,0.399,0.561
Hakim Warrick,CHI,20.5,0.377,0.547
Hasheem Thabeet,MEM,13.0,0.416,0.605
Hedo Turkoglu,TOR,30.7,0.504,0.54
Henry Walker,NYK,21.9,0.208,0.649
Hilton Armstrong,HOU,10.2,0.286,0.381
Ime Udoka,SAC,13.7,0.396,0.47
J.J. Barea,DAL,19.8,0.759,0.526
JJ Hickson,CLE,20.9,0.225,0.58
JJ Redick,ORL,22.1,0.374,0.606
JR Smith,DEN,27.8,0.484,0.515
JaVale McGee,WAS,16.1,0.359,0.539
Jamaal Tinsley,MEM,15.5,0.615,0.438
Jamal Crawford,ATL,31.1,0.573,0.573
Jamario Moon,CLE,17.2,0.193,0.555
Jameer Nelson,ORL,28.6,0.741,0.54
James Harden,OKC,22.9,0.403,0.551
James Johnson,CHI,11.6,0.368,0.532
James Jones,MIA,14.0,0.07,0.556
James Posey,NOH,22.5,0.262,0.525
James Singleton,WAS,17.2,0.371,0.452
Jannero Pargo,CHI,13.2,0.455,0.429
Jared Dudley,PHX,24.3,0.156,0.612
