name,team,min,uast,ts
Jared Jeffries,HOU,25.6,0.362,0.507
Jarrett Jack,TOR,27.4,0.687,0.599
Jarvis Hayes,NJN,22.9,0.101,0.521
Jason Kapono,PHI,17.1,0.175,0.527
Jason Kidd,DAL,36.0,0.306,0.577
Jason Maxiell,DET,20.4,0.344,0.531
Jason Richardson,PHX,31.5,0.3,0.574
Jason Smith,PHI,11.8,0.333,0.491
Jason Terry,DAL,33.0,0.384,0.552
Jason Thompson,SAC,31.4,0.338,0.518
Jason Williams,ORL,20.8,0.651,0.555
Jawad Williams,CLE,13.7,0.309,0.496
Jeff Ayres,POR,10.4,0.209,0.705
Jeff Green,OKC,37.1,0.431,0.53
Jeff Teague,ATL,10.1,0.7,0.459
Jermaine O'Neal,MIA,28.5,0.459,0.563
Jerry Stackhouse,MIL,20.3,0.233,0.517
Jerryd Bayless,POR,17.6,0.615,0.534
Joakim Noah,CHI,30.1,0.443,0.557
Jodie Meeks,PHI,12.0,0.288,0.493
Joe Johnson,ATL,38.0,0.613,0.538
Joel Anthony,MIA,16.5,0.368,0.546
Joey Graham,DEN,12.2,0.352,0.568
Johan Petro,DEN,12.1,0.296,0.553
John Salmons,MIL,34.9,0.465,0.553
Jon Brockman,SAC,12.6,0.473,0.564
Jonas Jerebko,DET,27.9,0.31,0.545
Jonny Flynn,MIN,28.9,0.748,0.511
Jordan Farmar,LAL,18.0,0.411,0.535
Jordan Hill,HOU,13.3,0.424,0.528
Jose Calderon,TOR,26.7,0.664,0.569
Josh Boone,NJN,16.6,0.333,0.509
Josh Howard,WAS,26.2,0.35,0.496
Josh McRoberts,IND,12.5,0.289,0.55
Josh Smith,ATL,35.4,0.379,0.536
Jrue Holiday,PHI,24.2,0.609,0.526
Julian Wright,NOH,12.8,0.371,0.518
Juwan Howard,POR,22.3,0.283,0.538
Keith Bogans,SAS,19.7,0.208,0.542
Kendrick Perkins,BOS,27.6,0.322,0.613
Kenyon Martin,DEN,34.2,0.322,0.481
Kevin Durant,OKC,39.5,0.48,0.607
Kevin Garnett,BOS,29.9,0.179,0.569
Kevin Love,MIN,28.6,0.426,0.549
Kevin Martin,HOU,35.5,0.384,0.561
Keyon Dooling,NJN,18.3,0.519,0.519
Kirk Hinrich,CHI,33.5,0.377,0.501
Kobe Bryant,LAL,38.8,0.595,0.545
Kris Humphries,NJN,17.7,0.361,0.495
Kurt Thomas,MIL,15.0,0.121,0.489
Kwame Brown,DET,13.7,0.355,0.47
Kyle Korver,UTA,18.3,0.072,0.62
Kyle Lowry,HOU,24.3,0.641,0.536
LaMarcus Aldridge,POR,37.5,0.427,0.535
Lamar Odom,LAL,31.5,0.5,0.533
Larry Hughes,CHA,24.8,0.416,0.472
LeBron James,CLE,39.0,0.635,0.604
Leandro Barbosa,PHX,17.9,0.419,0.526
Lou Amundson,PHX,14.8,0.303,0.562
Lou Williams,PHI,29.9,0.544,0.576
Luc Mbah a Moute,MIL,25.6,0.384,0.53
Luis Scola,HOU,32.6,0.373,0.55
Luke Ridnour,MIL,21.4,0.634,0.57
Luol Deng,CHI,37.9,0.391,0.531
Luther Head,IND,17.3,0.493,0.53
Manu Ginobili,SAS,28.7,0.538,0.584
Marc Gasol,MEM,35.8,0.37,0.617
Marcin Gortat,ORL,13.4,0.207,0.563
Marco Belinelli,TOR,17.0,0.318,0.543
Marcus Camby,POR,31.3,0.34,0.501
Marcus Thornton,NOH,25.6,0.364,0.55
Marcus Williams,MEM,14.1,0.635,0.456
Mardy Collins,LAC,10.9,0.681,0.404
Mario Chalmers,MIA,24.8,0.571,0.519
Marquis Daniels,BOS,18.4,0.379,0.526
Marreese Speights,PHI,16.4,0.382,0.524
Martell Webster,POR,24.5,0.166,0.543
Marvin Williams,ATL,30.5,0.377,0.54
Matt Barnes,ORL,25.9,0.258,0.576
Matt Bonner,SAS,17.9,0.235,0.581
Maurice Evans,ATL,16.7,0.314,0.539
Mehmet Okur,UTA,29.4,0.296,0.561
Metta World Peace,LAL,33.8,0.34,0.514
Michael Beasley,MIA,29.8,0.457,0.505
Michael Finley,BOS,15.4,0.235,0.53
Mickael Pietrus,ORL,22.5,0.288,0.555
Mike Bibby,ATL,27.4,0.205,0.538
Mike Conley,MEM,32.1,0.707,0.526
Mike Dunleavy,IND,22.2,0.197,0.531
Mike Miller,WAS,33.4,0.318,0.623
Mo Williams,CLE,34.2,0.534,0.58
Monta Ellis,GSW,41.4,0.642,0.517
Morris Peterson,NOH,21.1,0.121,0.503
Nate Robinson,BOS,19.9,0.526,0.543
Nathan Jawai,MIN,10.6,0.612,0.485
Nazr Mohammed,CHA,17.0,0.296,0.578
Nenad Krstic,OKC,22.9,0.178,0.527
Nene,DEN,33.6,0.247,0.631
Nick Collison,OKC,20.8,0.346,0.616
Nick Young,WAS,19.2,0.361,0.519
Nicolas Batum,POR,24.8,0.151,0.646
O.J. Mayo,MEM,38.0,0.443,0.551
Oleksiy Pecherov,MIN,10.2,0.325,0.487
Omri Casspi,SAC,25.1,0.347,0.529
Pau Gasol,LAL,37.0,0.431,0.593
Paul Millsap,UTA,27.8,0.281,0.573
Paul Pierce,BOS,34.0,0.455,0.613
Peja Stojakovic,NOH,31.4,0.223,0.533
Quentin Richardson,MIA,27.4,0.298,0.572
Quinton Ross,WAS,10.8,0.1,0.393
Rafer Alston,MIA,27.3,0.613,0.443
Rajon Rondo,BOS,36.6,0.697,0.54
Ramon Sessions,MIN,21.1,0.628,0.513
Randy Foye,WAS,23.8,0.73,0.516
Rashard Lewis,ORL,32.9,0.3,0.573
Rasheed Wallace,BOS,22.5,0.331,0.504
Rasual Butler,LAC,33.0,0.233,0.524
Ray Allen,BOS,35.2,0.272,0.601
Raymond Felton,CHA,33.0,0.621,0.525
Richard Hamilton,DET,33.7,0.294,0.505
Richard Jefferson,SAS,31.1,0.296,0.551
Ricky Davis,LAC,13.9,0.339,0.504
Robin Lopez,PHX,19.3,0.38,0.621
Rodney Carney,PHI,12.6,0.221,0.515
Rodney Stuckey,DET,34.2,0.673,0.479
Rodrigue Beaubois,DAL,12.5,0.548,0.617
Roger Mason Jr.,SAS,19.2,0.352,0.49
Ronnie Brewer,MEM,30.0,0.258,0.524
Ronnie Price,UTA,13.4,0.52,0.476
Ronny Turiaf,GSW,20.8,0.247,0.574
Roy Hibbert,IND,25.1,0.494,0.537
Rudy Fernandez,POR,23.2,0.262,0.54
Rudy Gay,MEM,39.7,0.582,0.535
Russell Westbrook,OKC,34.3,0.798,0.491
Ryan Anderson,ORL,14.5,0.349,0.574
Ryan Gomes,MIN,29.1,0.263,0.528
Ryan Hollins,MIN,16.8,0.361,0.6
Sam Young,MEM,16.5,0.589,0.518
Samuel Dalembert,PHI,25.9,0.337,0.573
Sasha Pavlovic,MIN,12.3,0.459,0.422
Sebastian Telfair,CLE,15.3,0.566,0.479
Serge Ibaka,OKC,18.1,0.348,0.562
Sergio Rodriguez,NYK,15.9,0.683,0.554
Shane Battier,HOU,32.4,0.208,0.541
Shannon Brown,LAL,20.7,0.411,0.517
Shaquille O'Neal,CLE,23.4,0.435,0.565
Shaun Livingston,WAS,22.1,0.567,0.563
Shawn Marion,DAL,31.8,0.273,0.535
Shelden Williams,BOS,11.1,0.238,0.612
Solomon Jones,IND,13.0,0.179,0.499
Sonny Weems,TOR,19.8,0.347,0.533
Spencer Hawes,SAC,26.4,0.378,0.507
Stephen Curry,GSW,36.2,0.557,0.568
Stephen Graham,CHA,11.5,0.336,0.551
Stephen Jackson,CHA,38.6,0.512,0.518
Steve Blake,LAC,27.0,0.323,0.539
Steve Nash,PHX,32.8,0.888,0.615
T.J. Ford,IND,25.3,0.785,0.507
Taj Gibson,CHI,26.9,0.344,0.521
Tayshaun Prince,DET,34.0,0.457,0.53
Terrence Williams,NJN,22.6,0.609,0.459
Thabo Sefolosha,OKC,28.6,0.289,0.509
Thaddeus Young,PHI,32.0,0.45,0.523
Theo Ratliff,CHA,16.5,0.271,0.511
Tim Duncan,SAS,31.3,0.447,0.56
Toney Douglas,NYK,19.4,0.581,0.571
Tony Allen,BOS,16.5,0.372,0.54
Tony Parker,SAS,30.9,0.711,0.542
Travis Outlaw,LAC,21.5,0.409,0.503
Trenton Hassell,NJN,21.3,0.422,0.465
Trevor Ariza,HOU,36.5,0.409,0.488
Troy Murphy,IND,32.6,0.247,0.585
Ty Lawson,DEN,20.3,0.647,0.6
Tyreke Evans,SAC,37.2,0.788,0.529
Tyrus Thomas,CHA,22.6,0.335,0.511
Tyson Chandler,CHA,22.8,0.394,0.643
Udonis Haslem,MIA,27.9,0.237,0.538
Vince Carter,ORL,30.8,0.622,0.541
Vladimir Radmanovic,GSW,21.7,0.32,0.449
Wayne Ellington,MIN,18.2,0.411,0.527
Wesley Matthews,UTA,24.7,0.242,0.592
Will Bynum,DET,26.5,0.789,0.513
Willie Green,PHI,21.3,0.452,0.538
Wilson Chandler,NYK,35.7,0.478,0.534
Yi Jianlian,NJN,31.8,0.313,0.481
Zach Randolph,MEM,37.7,0.523,0.546
Zaza Pachulia,ATL,14.0,0.333,0.539
Zydrunas Ilgauskas,CLE,20.9,0.278,0.491
