name,team,min,uast,ts
Aaron Brooks,IND,13.7,0.711,0.507
Aaron Gordon,ORL,28.7,0.43,0.53
Al Horford,BOS,32.3,0.322,0.553
Al Jefferson,IND,14.1,0.464,0.526
Al-Farouq Aminu,POR,29.1,0.333,0.506
Alan Williams,PHX,15.1,0.275,0.547
Alec Burks,UTA,15.5,0.556,0.501
Alex Abrines,OKC,15.5,0.142,0.56
Alex Len,PHX,20.3,0.365,0.553
Alexis Ajinca,NOP,15.0,0.18,0.529
Allen Crabbe,POR,28.5,0.139,0.602
Amir Johnson,BOS,20.1,0.211,0.628
Andre Drummond,DET,29.7,0.398,0.518
Andre Iguodala,GSW,26.3,0.233,0.624
Andre Roberson,OKC,30.1,0.191,0.51
Andrew Harrison,MEM,20.5,0.675,0.477
Andrew Wiggins,MIN,37.2,0.536,0.534
Anthony Davis,NOP,36.1,0.338,0.58
Anthony Morrow,CHI,14.6,0.245,0.505
Anthony Tolliver,SAC,22.7,0.148,0.595
Aron Baynes,DET,15.5,0.266,0.57
Arron Afflalo,SAC,25.9,0.341,0.559
Austin Rivers,LAC,27.8,0.622,0.545
Avery Bradley,BOS,33.4,0.326,0.548
Ben McLemore,SAC,19.3,0.228,0.538
Beno Udrih,DET,14.4,0.815,0.535
Bismack Biyombo,ORL,22.1,0.184,0.546
Blake Griffin,LAC,34.0,0.463,0.569
Bobby Portis,CHI,15.6,0.295,0.545
Bojan Bogdanovic,WAS,25.7,0.332,0.585
Boris Diaw,UTA,17.6,0.548,0.494
Bradley Beal,WAS,34.9,0.402,0.604
Brandon Bass,LAC,11.1,0.318,0.65
Brandon Ingram,LAL,28.9,0.514,0.474
Brandon Jennings,WAS,22.2,0.688,0.479
Brandon Knight,PHX,21.1,0.756,0.502
Brandon Rush,MIN,21.9,0.086,0.505
Brian Roberts,CHA,10.1,0.457,0.51
Brook Lopez,BKN,29.6,0.38,0.578
Buddy Hield,SAC,23.0,0.404,0.541
C.J. Watson,ORL,16.3,0.458,0.507
CJ McCollum,POR,34.9,0.611,0.585
CJ Miles,IND,23.4,0.199,0.592
Cameron Payne,CHI,14.9,0.516,0.407
Caris LeVert,BKN,21.7,0.515,0.556
Carmelo Anthony,NYK,34.3,0.575,0.535
Chandler Parsons,MEM,19.8,0.293,0.436
Channing Frye,CLE,18.9,0.071,0.612
Chris Paul,LAC,31.5,0.786,0.614
Clint Capela,HOU,23.9,0.174,0.638
Cody Zeller,CHA,27.8,0.202,0.604
Corey Brewer,LAL,15.6,0.333,0.491
Cory Joseph,TOR,25.0,0.699,0.518
Courtney Lee,NYK,31.9,0.355,0.559
Cristiano Felicio,CHI,15.8,0.352,0.603
D'Angelo Russell,LAL,28.7,0.595,0.518
D.J. Augustin,ORL,19.7,0.538,0.524
Damian Lillard,POR,35.9,0.681,0.586
Danilo Gallinari,DEN,33.9,0.328,0.622
Danny Green,SAS,26.6,0.188,0.537
Dante Cunningham,NOP,25.0,0.132,0.586
Dante Exum,UTA,18.6,0.497,0.521
Dario Saric,PHI,26.3,0.373,0.508
Darrell Arthur,DEN,15.6,0.105,0.583
Darren Collison,SAC,30.3,0.556,0.57
David Lee,SAS,18.7,0.302,0.613
David West,GSW,12.6,0.2,0.571
Davis Bertans,SAS,12.1,0.107,0.609
DeAndre Jordan,LAC,31.7,0.277,0.673
DeAndre Liggins,DAL,12.5,0.4,0.476
DeMar DeRozan,TOR,35.4,0.782,0.552
DeMarcus Cousins,NOP,34.2,0.501,0.562
DeMarre Carroll,TOR,26.1,0.232,0.53
Dennis Schroder,ATL,31.5,0.706,0.533
Denzel Valentine,CHI,17.1,0.206,0.492
Deron Williams,CLE,25.9,0.635,0.541
Derrick Favors,UTA,23.7,0.202,0.512
Derrick Jones Jr.,PHX,17.0,0.309,0.604
Derrick Rose,NYK,32.5,0.77,0.53
Derrick Williams,CLE,16.1,0.222,0.537
Devin Booker,PHX,35.0,0.563,0.531
Devin Harris,DAL,16.7,0.375,0.549
Dewayne Dedmon,SAS,17.5,0.298,0.645
Dion Waiters,MIA,30.1,0.623,0.507
Dirk Nowitzki,DAL,26.4,0.169,0.529
Domantas Sabonis,OKC,20.1,0.276,0.469
Donatas Motiejunas,NOP,14.1,0.211,0.47
Dorian Finney-Smith,DAL,20.3,0.21,0.486
Doug McDermott,OKC,22.8,0.158,0.554
Dragan Bender,PHX,13.3,0.228,0.44
Draymond Green,GSW,32.5,0.21,0.522
Dwight Howard,ATL,29.7,0.343,0.627
Dwight Powell,DAL,17.3,0.144,0.588
Dwyane Wade,CHI,29.9,0.638,0.508
E'Twaun Moore,NOP,24.9,0.452,0.537
Ed Davis,POR,17.2,0.333,0.563
Elfrid Payton,ORL,29.4,0.795,0.52
Emmanuel Mudiay,DEN,25.6,0.486,0.483
Enes Kanter,OKC,21.3,0.498,0.599
Eric Bledsoe,PHX,33.0,0.793,0.563
Eric Gordon,HOU,31.0,0.318,0.557
Ersan Ilyasova,ATL,26.1,0.188,0.546
Evan Fournier,ORL,32.8,0.412,0.555
Evan Turner,POR,25.5,0.728,0.491
Frank Kaminsky,CHA,26.1,0.238,0.502
Garrett Temple,SAC,26.6,0.306,0.545
Gary Harris,DEN,31.3,0.234,0.611
George Hill,UTA,31.5,0.609,0.599
Gerald Green,BOS,11.4,0.316,0.524
Gerald Henderson,PHI,23.2,0.368,0.529
Giannis Antetokounmpo,MIL,35.6,0.558,0.599
Glenn Robinson III,IND,20.7,0.253,0.564
Goran Dragic,MIA,33.7,0.697,0.575
Gordon Hayward,UTA,34.5,0.484,0.595
Gorgui Dieng,MIN,32.4,0.211,0.555
Greg Monroe,MIL,22.5,0.419,0.572
Harrison Barnes,DAL,35.5,0.499,0.541
Hassan Whiteside,MIA,32.6,0.415,0.579
Hollis Thompson,NOP,18.8,0.169,0.482
Ian Clark,GSW,14.8,0.246,0.575
Ian Mahinmi,WAS,17.9,0.277,0.601
Iman Shumpert,CLE,25.5,0.403,0.536
Isaiah Canaan,CHI,15.2,0.413,0.483
Isaiah Thomas,BOS,33.8,0.565,0.625
Isaiah Whitehead,BKN,22.5,0.574,0.487
Ish Smith,DET,24.1,0.83,0.477
Ivica Zubac,LAL,16.0,0.198,0.547
J.J. Barea,DAL,22.0,0.739,0.521
JJ Redick,LAC,28.2,0.114,0.599
JR Smith,CLE,29.0,0.187,0.484
JaMychal Green,MEM,27.3,0.316,0.601
Jabari Parker,MIL,33.9,0.338,0.563
Jae Crowder,BOS,32.4,0.156,0.613
Jahlil Okafor,PHI,22.7,0.574,0.546
Jakob Poeltl,TOR,11.6,0.313,0.589
Jamal Crawford,LAC,26.3,0.66,0.525
Jamal Murray,DEN,21.5,0.427,0.518
Jameer Nelson,DEN,27.3,0.515,0.544
James Ennis III,MEM,23.4,0.267,0.581
James Harden,HOU,36.4,0.819,0.613
James Johnson,MIA,27.4,0.546,0.564
Jared Dudley,PHX,21.3,0.197,0.579
Jarell Martin,MEM,13.3,0.31,0.477
Jason Smith,WAS,14.4,0.115,0.598
Jason Terry,MIL,18.4,0.171,0.6
Jaylen Brown,BOS,17.2,0.297,0.539
Jeff Green,ORL,22.2,0.441,0.505
Jeff Teague,IND,32.4,0.791,0.574
Jerami Grant,OKC,19.1,0.257,0.556
Jeremy Lamb,CHA,18.4,0.571,0.55
Jeremy Lin,BKN,24.5,0.634,0.566
Jerian Grant,CHI,16.3,0.523,0.555
Jimmy Butler,CHI,37.0,0.591,0.586
Joakim Noah,NYK,22.1,0.505,0.491
Jodie Meeks,ORL,20.5,0.146,0.567
Joe Harris,BKN,21.9,0.169,0.558
Joe Ingles,UTA,24.1,0.358,0.604
Joe Johnson,UTA,23.6,0.575,0.542
Joel Embiid,PHI,25.4,0.39,0.584
Joffrey Lauvergne,CHI,14.0,0.236,0.509
John Henson,MIL,19.4,0.277,0.55
John Wall,WAS,36.4,0.793,0.541
Jon Leuer,DET,25.9,0.223,0.551
Jonas Jerebko,BOS,15.8,0.254,0.537
Jonas Valanciunas,TOR,25.8,0.384,0.601
Jonathon Simmons,SAS,17.9,0.407,0.504
Jordan Clarkson,LAL,29.2,0.618,0.526
Jordan McRae,CLE,10.4,0.448,0.488
Jose Calderon,ATL,13.1,0.364,0.506
Josh Richardson,MIA,30.5,0.431,0.493
Jrue Holiday,NOP,32.7,0.709,0.532
Juan Hernangomez,DEN,13.6,0.208,0.592
Julius Randle,LAL,28.8,0.491,0.543
Justin Anderson,PHI,16.4,0.333,0.537
Justin Hamilton,BKN,18.4,0.184,0.55
Justin Holiday,NYK,20.0,0.159,0.549
